p,mean p omega
0.1388,0.1388
0.1388,0.1969
0.4317,0.1818
0.5061,0.2167
0.0773,0.0773
0.0773,0.1396
0.2995,0.0596
0.0757,0.2047
0.0757,0.0757
0.1368,0.3023
0.3169,0.3169
0.3169,0.2296
0.2095,0.2111
0.1590,0.2273
0.3383,0.2188
0.1059,0.1186
0.1059,0.1154
0.1059,0.2423
0.5185,0.2258
0.0909,0.1592
0.0909,0.0909
0.0909,0.3557
0.7786,0.2902
0.7786,0.3936
0.3793,0.5368
0.4858,0.3364
0.1532,0.3882
0.4280,0.1782
0.1030,0.3158
0.1030,0.1030
0.1069,0.1627
0.2259,0.2608
0.1100,0.1068
0.0457,0.0534
0.0290,0.0746
0.1778,0.1129
0.2157,0.1665
0.0566,0.1962
0.0566,0.0566
0.0566,0.0847
0.1388,0.1045
0.1114,0.1971
0.5061,0.2430
0.5061,0.3989
0.0773,0.1955
0.0418,0.0596
0.0418,0.1605
0.1503,0.1698
0.0757,0.1722
0.3125,0.2633
0.5769,0.2519
0.3462,0.3083
0.1590,0.2104
0.1590,0.1590
0.1590,0.3413
0.1249,0.2457
0.1059,0.1450
0.1918,0.1346
0.6846,0.1687
0.2296,0.1371
0.0909,0.2420
0.2298,0.0460
0.0012,0.2617
0.0373,0.4221
0.7601,0.1518
0.1532,0.5307
0.1532,0.1532
0.1532,0.2596
0.2062,0.1526
0.1030,0.1613
0.1069,0.1065
0.1069,0.1847
0.1100,0.0820
0.0290,0.1693
0.0290,0.0290
0.0290,0.1618
0.2157,0.1628
0.3619,0.1062
0.0566,0.1449
0.0046,0.0952
0.1114,0.0381
0.0046,0.1114
0.1114,0.3838
0.5061,0.3320
0.1567,0.2839
0.0418,0.1324
0.1503,0.2030
0.1503,0.1270
0.1503,0.3022
0.2638,0.2313
0.2638,0.2638
0.2638,0.2160
0.1270,0.1772
0.1590,0.1528
0.1981,0.1536
0.1981,0.1480
0.1574,0.1573
0.1918,0.1234
0.0326,0.1833
0.2296,0.1587
0.4178,0.0898
0.0012,0.2313
0.0012,0.0174
0.1484,0.0651
0.0373,0.3913
0.7238,0.1897
0.1532,0.3553
0.2510,0.2126
0.2510,0.1751
0.1069,0.1415
0.1050,0.2279
0.2961,0.1690
0.0482,0.1760
0.4923,0.1621
0.0012,0.1707
0.2247,0.0395
0.0447,0.1603
0.1563,0.0819
0.1563,0.1314
0.1563,0.0747
0.0046,0.1152
0.1114,0.2241
0.5185,0.3444
0.5539,0.4390
0.5104,0.3553
0.1567,0.4908
0.5781,0.1053
0.0571,0.3761
0.7189,0.0955
0.1172,0.3409
0.2638,0.2620
0.1270,0.2417
0.1270,0.1270
0.1270,0.1207
0.0983,0.1338
0.1116,0.1320
0.1334,0.1389
0.1116,0.1512
0.1284,0.1216
0.2138,0.1718
0.2138,0.1835
0.2763,0.1231
0.0012,0.2928
0.1484,0.1048
0.1484,0.1174
0.0913,0.0635
0.2931,0.2465
0.2931,0.2628
0.1050,0.2829
0.1050,0.1055
0.4036,0.2468
0.2952,0.3342
0.2952,0.2952
0.2952,0.3956
0.4800,0.2473
0.0447,0.2198
0.0447,0.0447
0.0447,0.1082
0.1563,0.1168
0.1331,0.1319
0.0819,0.1334
0.2627,0.2296
0.6010,0.3278
0.3570,0.5040
0.3560,0.3411
0.8329,0.1797
0.0571,0.4272
0.0571,0.0571
0.0571,0.2934
0.1172,0.1022
0.1172,0.1565
0.1225,0.1234
0.1270,0.1091
0.0983,0.1180
0.0983,0.0983
0.0983,0.1815
0.1334,0.1327
0.1838,0.2562
0.1284,0.1284
0.1284,0.1389
0.1067,0.1813
0.2763,0.3088
0.7454,0.1329
0.1212,0.2954
0.1665,0.1393
0.1665,0.1665
0.4405,0.2797
0.4021,0.4039
0.4036,0.2719
0.1050,0.2634
0.1642,0.3283
0.3419,0.1549
0.1388,0.1779
0.3149,0.1190
0.1298,0.1298
0.1298,0.1020
0.0447,0.1097
0.0755,0.1028
0.1331,0.1633
0.1331,0.0957
0.1331,0.1018
0.1504,0.1741
0.1728,0.3203
0.3570,0.2342
0.1552,0.1141
0.1490,0.4076
0.2407,0.1031
0.0571,0.2154
0.2803,0.0583
0.1172,0.2056
0.1225,0.0897
0.1225,0.1225
0.0887,0.1221
0.1197,0.1013
0.0983,0.1623
0.3828,0.1568
0.2152,0.2212
0.1533,0.1731
0.1284,0.1237
0.1067,0.1175
0.1067,0.1067
0.1067,0.3492
0.8780,0.3198
0.1212,0.1212
0.1212,0.1634
0.1665,0.3377
0.4021,0.3527
0.4021,0.4388
0.4755,0.4212
0.4036,0.3051
0.1642,0.2023
0.0053,0.1544
0.0053,0.0053
0.0053,0.2777
0.1298,0.1152
0.1889,0.1660
0.1889,0.1399
0.1889,0.0861
0.0755,0.1336
0.0417,0.0852
0.0905,0.0722
0.2635,0.2916
0.1728,0.1728
0.1728,0.2263
0.1490,0.1446
0.1490,0.1490
0.1490,0.2391
0.2833,0.1228
0.0017,0.2122
0.0017,0.0248
0.0017,0.1422
0.5633,0.2397
0.1197,0.1288
0.1197,0.0839
0.0482,0.1204
0.2152,0.1736
0.2152,0.1770
0.2152,0.1225
0.1064,0.1458
0.1064,0.1133
0.1067,0.1212
0.1358,0.1452
0.2318,0.1358
0.4212,0.3000
0.1504,0.3493
0.4019,0.2173
0.4019,0.4149
0.4755,0.3444
0.4755,0.4755
0.4755,0.3868
0.1642,0.2532
0.1063,0.0583
0.0053,0.1215
0.1369,0.0583
0.1369,0.1846
0.2156,0.1409
0.0710,0.1377
0.0755,0.0932
0.0417,0.1121
0.0417,0.0417
0.0417,0.2133
0.5266,0.1681
0.1728,0.3524
0.2709,0.2129
0.1120,0.2010
0.1490,0.1744
0.2833,0.2298
0.2833,0.2833
0.2833,0.1621
0.0017,0.2372
0.3023,0.0940
0.1826,0.2188
0.1780,0.1316
0.0482,0.1799
0.0482,0.0482
0.0482,0.0971
0.0624,0.0734
0.0151,0.1065
0.1334,0.1043
0.1334,0.1279
0.1358,0.2178
0.1358,0.1358
