gen,mean p,sigma p,max p
2988,0.4618,0.0148,0.4915
2989,0.4619,0.0145,0.4915
2990,0.4620,0.0146,0.4915
2991,0.4622,0.0148,0.4915
2992,0.4622,0.0148,0.4870
2993,0.4624,0.0149,0.4884
2994,0.4624,0.0149,0.4884
2995,0.4625,0.0149,0.4870
2996,0.4627,0.0150,0.4870
2997,0.4625,0.0152,0.4883
2998,0.4626,0.0153,0.4870
2999,0.4627,0.0152,0.4917
3000,0.4630,0.0153,0.4921
3001,0.4632,0.0152,0.4906
3002,0.4633,0.0152,0.4900
3003,0.4631,0.0152,0.4870
3004,0.4633,0.0150,0.4870
3005,0.4635,0.0150,0.4870
3006,0.4643,0.0131,0.4895
3007,0.4644,0.0130,0.4895
3008,0.4644,0.0131,0.4914
3009,0.4645,0.0130,0.4912
3010,0.4647,0.0129,0.4962
3011,0.4649,0.0131,0.4870
3012,0.4647,0.0133,0.4870
3013,0.4651,0.0136,0.4870
3014,0.4656,0.0141,0.4870
3015,0.4661,0.0143,0.4870
3016,0.4666,0.0143,0.4934
3017,0.4668,0.0144,0.4914
3018,0.4667,0.0146,0.4886
3019,0.4669,0.0143,0.4870
3020,0.4670,0.0145,0.4960
3021,0.4670,0.0146,0.4960
3022,0.4672,0.0148,0.4964
3023,0.4674,0.0150,0.4964
3024,0.4674,0.0154,0.4964
3025,0.4678,0.0155,0.4964
3026,0.4677,0.0154,0.4964
3027,0.4675,0.0154,0.4964
3028,0.4674,0.0155,0.4964
3029,0.4672,0.0154,0.4964
3030,0.4672,0.0154,0.4939
3031,0.4670,0.0154,0.4933
3032,0.4669,0.0153,0.4930
3033,0.4669,0.0155,0.4963
3034,0.4671,0.0160,0.4963
3035,0.4672,0.0161,0.4961
3036,0.4672,0.0161,0.4908
3037,0.4675,0.0161,0.4908
3038,0.4678,0.0164,0.4941
3039,0.4677,0.0165,0.4921
3040,0.4671,0.0168,0.4890
3041,0.4670,0.0170,0.4942
3042,0.4668,0.0171,0.4894
3043,0.4667,0.0173,0.4924
3044,0.4666,0.0171,0.4962
3045,0.4667,0.0171,0.4938
3046,0.4671,0.0171,0.4937
3047,0.4673,0.0170,0.4925
3048,0.4678,0.0172,0.4949
3049,0.4679,0.0172,0.4905
3050,0.4682,0.0172,0.4960
3051,0.4684,0.0173,0.4937
3052,0.4688,0.0176,0.4965
3053,0.4690,0.0174,0.4900
3054,0.4694,0.0173,0.4954
3055,0.4696,0.0172,0.4986
3056,0.4699,0.0168,0.4954
3057,0.4700,0.0167,0.4942
3058,0.4707,0.0165,0.4950
3059,0.4706,0.0167,0.4942
3060,0.4705,0.0170,0.4901
3061,0.4705,0.0173,0.4925
3062,0.4704,0.0172,0.4962
3063,0.4702,0.0171,0.4965
3064,0.4697,0.0168,0.4965
3065,0.4696,0.0164,0.4897
3066,0.4698,0.0162,0.4944
3067,0.4699,0.0162,0.4956
3068,0.4701,0.0162,0.4944
3069,0.4702,0.0163,0.4944
3070,0.4700,0.0162,0.4944
3071,0.4702,0.0162,0.4944
3072,0.4702,0.0161,0.4944
3073,0.4702,0.0159,0.4944
3074,0.4701,0.0160,0.4944
3075,0.4703,0.0159,0.4944
3076,0.4708,0.0158,0.4944
3077,0.4711,0.0159,0.4944
3078,0.4710,0.0160,0.4944
3079,0.4713,0.0161,0.4961
3080,0.4715,0.0162,0.4961
3081,0.4716,0.0161,0.5002
3082,0.4717,0.0162,0.5013
3083,0.4715,0.0159,0.5002
3084,0.4714,0.0157,0.5002
3085,0.4712,0.0155,0.5002
3086,0.4709,0.0153,0.4944
3087,0.4708,0.0153,0.4968
3088,0.4708,0.0152,0.4944
3089,0.4709,0.0151,0.4989
3090,0.4712,0.0151,0.4978
3091,0.4712,0.0152,0.4995
3092,0.4714,0.0152,0.4944
3093,0.4715,0.0152,0.5000
3094,0.4717,0.0152,0.4944
3095,0.4720,0.0152,0.4944
3096,0.4722,0.0151,0.4957
3097,0.4724,0.0152,0.5010
3098,0.4725,0.0153,0.5010
3099,0.4725,0.0153,0.5010
3100,0.4725,0.0154,0.5010
3101,0.4727,0.0154,0.5010
3102,0.4728,0.0153,0.4969
3103,0.4729,0.0154,0.4950
3104,0.4729,0.0156,0.5024
3105,0.4728,0.0155,0.4964
3106,0.4728,0.0152,0.4964
3107,0.4726,0.0152,0.4967
3108,0.4725,0.0152,0.4915
3109,0.4726,0.0157,0.4983
3110,0.4730,0.0156,0.4973
3111,0.4733,0.0157,0.4988
3112,0.4732,0.0157,0.5004
3113,0.4732,0.0156,0.4949
3114,0.4733,0.0158,0.4936
3115,0.4736,0.0159,0.4936
3116,0.4739,0.0159,0.4956
3117,0.4742,0.0159,0.4983
3118,0.4741,0.0160,0.4983
3119,0.4743,0.0159,0.4936
3120,0.4745,0.0160,0.4989
3121,0.4745,0.0160,0.4950
3122,0.4747,0.0160,0.5004
3123,0.4749,0.0160,0.5029
3124,0.4752,0.0160,0.5004
3125,0.4758,0.0160,0.4980
3126,0.4758,0.0160,0.4980
3127,0.4760,0.0160,0.4994
3128,0.4763,0.0162,0.4994
3129,0.4764,0.0163,0.5014
3130,0.4765,0.0163,0.4958
3131,0.4764,0.0162,0.4994
3132,0.4760,0.0161,0.4994
3133,0.4758,0.0161,0.4994
3134,0.4756,0.0163,0.4960
3135,0.4757,0.0163,0.4968
3136,0.4756,0.0161,0.4987
3137,0.4755,0.0156,0.4958
3138,0.4753,0.0155,0.4990
3139,0.4753,0.0155,0.5010
3140,0.4753,0.0157,0.4976
3141,0.4752,0.0158,0.5029
3142,0.4753,0.0159,0.5029
3143,0.4752,0.0160,0.5010
3144,0.4756,0.0159,0.4987
3145,0.4759,0.0158,0.4987
3146,0.4759,0.0159,0.5001
3147,0.4758,0.0160,0.5022
3148,0.4757,0.0160,0.4958
3149,0.4758,0.0161,0.4958
3150,0.4758,0.0160,0.4958
3151,0.4759,0.0159,0.4956
3152,0.4761,0.0159,0.4997
3153,0.4757,0.0164,0.4995
3154,0.4739,0.0180,0.4995
3155,0.4718,0.0193,0.4995
3156,0.4713,0.0194,0.4995
3157,0.4713,0.0194,0.5010
3158,0.4719,0.0189,0.5010
3159,0.4726,0.0182,0.4938
3160,0.4733,0.0179,0.4960
3161,0.4737,0.0177,0.5016
3162,0.4742,0.0174,0.4936
3163,0.4743,0.0174,0.4987
3164,0.4742,0.0174,0.4977
3165,0.4747,0.0175,0.4977
3166,0.4750,0.0176,0.5060
3167,0.4753,0.0176,0.5060
3168,0.4754,0.0175,0.5060
3169,0.4755,0.0174,0.4991
3170,0.4757,0.0173,0.4991
3171,0.4757,0.0171,0.4991
3172,0.4759,0.0173,0.4998
3173,0.4760,0.0170,0.4991
3174,0.4763,0.0172,0.5022
3175,0.4767,0.0172,0.5037
3176,0.4770,0.0171,0.5037
3177,0.4771,0.0169,0.5037
3178,0.4771,0.0167,0.5032
3179,0.4771,0.0165,0.5039
3180,0.4771,0.0166,0.4977
3181,0.4770,0.0166,0.4977
3182,0.4773,0.0163,0.4977
3183,0.4775,0.0163,0.4977
3184,0.4776,0.0164,0.5024
3185,0.4776,0.0164,0.5024
3186,0.4777,0.0165,0.5024
3187,0.4777,0.0165,0.5024
3188,0.4775,0.0165,0.5024
3189,0.4775,0.0164,0.5029
3190,0.4775,0.0163,0.5039
3191,0.4776,0.0163,0.5077
3192,0.4779,0.0163,0.5029
3193,0.4778,0.0163,0.4977
3194,0.4781,0.0163,0.5039
3195,0.4783,0.0164,0.5041
3196,0.4782,0.0164,0.5041
3197,0.4783,0.0164,0.5056
3198,0.4784,0.0163,0.4977
3199,0.4784,0.0161,0.5021
3200,0.4783,0.0161,0.5021
3201,0.4782,0.0160,0.5035
3202,0.4782,0.0160,0.4977
3203,0.4786,0.0159,0.5058
3204,0.4787,0.0160,0.5058
3205,0.4789,0.0159,0.5058
3206,0.4789,0.0158,0.5025
3207,0.4789,0.0157,0.5074
3208,0.4789,0.0157,0.5015
3209,0.4789,0.0157,0.5051
3210,0.4790,0.0157,0.5051
3211,0.4794,0.0155,0.5051
3212,0.4795,0.0155,0.4977
3213,0.4796,0.0156,0.5065
3214,0.4796,0.0157,0.4977
3215,0.4796,0.0157,0.5008
3216,0.4795,0.0158,0.5051
3217,0.4795,0.0159,0.5051
3218,0.4796,0.0159,0.4997
3219,0.4797,0.0159,0.5066
3220,0.4798,0.0159,0.5058
3221,0.4799,0.0159,0.5065
3222,0.4799,0.0159,0.5058
3223,0.4801,0.0158,0.5049
3224,0.4801,0.0158,0.5049
3225,0.4801,0.0157,0.5008
3226,0.4800,0.0159,0.4977
3227,0.4802,0.0158,0.5065
3228,0.4800,0.0161,0.5024
3229,0.4800,0.0162,0.5074
3230,0.4802,0.0161,0.5074
3231,0.4804,0.0162,0.5074
3232,0.4809,0.0163,0.5074
3233,0.4811,0.0167,0.5074
3234,0.4813,0.0168,0.5074
3235,0.4813,0.0172,0.5074
3236,0.4813,0.0170,0.5144
3237,0.4814,0.0171,0.5117
3238,0.4814,0.0169,0.5106
3239,0.4814,0.0167,0.5169
3240,0.4812,0.0166,0.5074
3241,0.4812,0.0170,0.5119
3242,0.4814,0.0169,0.5127
3243,0.4815,0.0168,0.5074
3244,0.4817,0.0169,0.5074
3245,0.4818,0.0170,0.5103
3246,0.4822,0.0171,0.5145
3247,0.4823,0.0171,0.5145
3248,0.4825,0.0170,0.5074
3249,0.4821,0.0174,0.5079
3250,0.4801,0.0179,0.5074
3251,0.4782,0.0182,0.5074
3252,0.4771,0.0183,0.5107
3253,0.4772,0.0182,0.5107
3254,0.4772,0.0181,0.5074
3255,0.4774,0.0180,0.5074
3256,0.4779,0.0178,0.5074
3257,0.4783,0.0178,0.5074
3258,0.4786,0.0177,0.5074
3259,0.4788,0.0175,0.5074
3260,0.4790,0.0176,0.5074
3261,0.4794,0.0175,0.5074
3262,0.4795,0.0179,0.5074
3263,0.4802,0.0176,0.5129
3264,0.4805,0.0174,0.5074
3265,0.4805,0.0174,0.5074
3266,0.4806,0.0174,0.5074
3267,0.4810,0.0172,0.5074
3268,0.4811,0.0171,0.5118
3269,0.4813,0.0171,0.5074
3270,0.4813,0.0169,0.5074
3271,0.4814,0.0170,0.5074
3272,0.4817,0.0169,0.5074
3273,0.4821,0.0168,0.5074
3274,0.4822,0.0167,0.5074
3275,0.4823,0.0166,0.5075
3276,0.4825,0.0165,0.5075
3277,0.4828,0.0165,0.5074
3278,0.4829,0.0166,0.5074
3279,0.4828,0.0169,0.5074
3280,0.4829,0.0168,0.5074
3281,0.4829,0.0168,0.5080
3282,0.4832,0.0168,0.5074
3283,0.4834,0.0168,0.5074
3284,0.4836,0.0167,0.5074
3285,0.4837,0.0166,0.5074
3286,0.4840,0.0166,0.5074
3287,0.4841,0.0166,0.5074
3288,0.4844,0.0164,0.5074
3289,0.4847,0.0163,0.5074
3290,0.4848,0.0164,0.5138
3291,0.4849,0.0164,0.5132
3292,0.4850,0.0164,0.5132
3293,0.4851,0.0164,0.5132
3294,0.4853,0.0165,0.5154
3295,0.4855,0.0166,0.5154
3296,0.4855,0.0165,0.5132
3297,0.4857,0.0166,0.5132
3298,0.4862,0.0165,0.5148
3299,0.4864,0.0164,0.5132
3300,0.4863,0.0164,0.5132
3301,0.4864,0.0166,0.5132
3302,0.4865,0.0165,0.5074
3303,0.4866,0.0165,0.5136
3304,0.4869,0.0165,0.5136
3305,0.4870,0.0166,0.5075
3306,0.4870,0.0165,0.5074
3307,0.4869,0.0166,0.5103
3308,0.4870,0.0166,0.5103
3309,0.4872,0.0165,0.5074
3310,0.4872,0.0165,0.5074
3311,0.4875,0.0166,0.5074
3312,0.4876,0.0166,0.5074
3313,0.4880,0.0169,0.5074
3314,0.4885,0.0170,0.5074
3315,0.4888,0.0169,0.5133
3316,0.4893,0.0171,0.5133
3317,0.4896,0.0174,0.5074
3318,0.4900,0.0176,0.5161
3319,0.4901,0.0180,0.5152
3320,0.4904,0.0180,0.5140
3321,0.4905,0.0179,0.5153
3322,0.4906,0.0178,0.5153
3323,0.4903,0.0176,0.5153
3324,0.4902,0.0176,0.5150
3325,0.4907,0.0177,0.5150
3326,0.4910,0.0180,0.5169
3327,0.4913,0.0180,0.5136
3328,0.4914,0.0179,0.5129
3329,0.4916,0.0180,0.5164
3330,0.4916,0.0180,0.5145
3331,0.4917,0.0181,0.5145
3332,0.4915,0.0182,0.5143
3333,0.4916,0.0184,0.5188
3334,0.4918,0.0183,0.5188
3335,0.4921,0.0181,0.5141
3336,0.4919,0.0177,0.5134
3337,0.4910,0.0176,0.5175
3338,0.4901,0.0173,0.5140
3339,0.4898,0.0171,0.5134
3340,0.4896,0.0172,0.5154
3341,0.4898,0.0173,0.5129
3342,0.4900,0.0173,0.5145
3343,0.4902,0.0176,0.5131
3344,0.4900,0.0179,0.5135
3345,0.4900,0.0180,0.5158
3346,0.4899,0.0179,0.5135
3347,0.4900,0.0180,0.5145
3348,0.4901,0.0179,0.5147
3349,0.4902,0.0180,0.5143
3350,0.4906,0.0179,0.5151
3351,0.4909,0.0181,0.5141
3352,0.4912,0.0181,0.5139
3353,0.4914,0.0180,0.5148
3354,0.4916,0.0180,0.5157
3355,0.4917,0.0180,0.5156
3356,0.4919,0.0179,0.5132
3357,0.4917,0.0178,0.5110
3358,0.4917,0.0178,0.5189
3359,0.4912,0.0179,0.5140
3360,0.4912,0.0179,0.5164
3361,0.4912,0.0178,0.5160
3362,0.4913,0.0178,0.5160
3363,0.4917,0.0177,0.5157
3364,0.4920,0.0177,0.5157
3365,0.4920,0.0175,0.5150
3366,0.4921,0.0176,0.5157
3367,0.4922,0.0175,0.5157
3368,0.4922,0.0174,0.5157
3369,0.4923,0.0174,0.5149
3370,0.4923,0.0175,0.5148
3371,0.4924,0.0175,0.5158
3372,0.4927,0.0175,0.5138
3373,0.4929,0.0174,0.5162
3374,0.4931,0.0174,0.5162
3375,0.4931,0.0175,0.5162
3376,0.4931,0.0176,0.5133
3377,0.4932,0.0176,0.5133
3378,0.4932,0.0175,0.5194
3379,0.4935,0.0176,0.5153
3380,0.4935,0.0175,0.5154
3381,0.4938,0.0175,0.5166
3382,0.4936,0.0175,0.5166
3383,0.4935,0.0177,0.5153
3384,0.4936,0.0178,0.5167
3385,0.4936,0.0178,0.5167
3386,0.4937,0.0179,0.5149
3387,0.4935,0.0182,0.5162
3388,0.4937,0.0183,0.5149
3389,0.4941,0.0178,0.5165
3390,0.4943,0.0176,0.5137
3391,0.4944,0.0176,0.5109
3392,0.4946,0.0171,0.5129
3393,0.4948,0.0171,0.5141
3394,0.4948,0.0171,0.5138
3395,0.4947,0.0173,0.5144
3396,0.4947,0.0175,0.5142
3397,0.4950,0.0174,0.5135
3398,0.4944,0.0180,0.5126
3399,0.4941,0.0184,0.5157
3400,0.4941,0.0186,0.5148
3401,0.4945,0.0181,0.5163
3402,0.4949,0.0178,0.5166
3403,0.4953,0.0175,0.5166
3404,0.4956,0.0175,0.5166
3405,0.4958,0.0174,0.5149
3406,0.4964,0.0177,0.5165
3407,0.4969,0.0180,0.5165
3408,0.4973,0.0181,0.5210
3409,0.4976,0.0181,0.5236
3410,0.4976,0.0180,0.5221
3411,0.4976,0.0181,0.5204
3412,0.4977,0.0180,0.5145
3413,0.4981,0.0180,0.5168
3414,0.4984,0.0173,0.5180
3415,0.4986,0.0172,0.5205
3416,0.4987,0.0171,0.5145
3417,0.4988,0.0171,0.5214
3418,0.4989,0.0171,0.5192
3419,0.4987,0.0174,0.5201
3420,0.4990,0.0174,0.5216
3421,0.4992,0.0173,0.5215
3422,0.4993,0.0174,0.5215
3423,0.4995,0.0171,0.5224
3424,0.4997,0.0169,0.5213
3425,0.4998,0.0169,0.5236
3426,0.4998,0.0169,0.5236
3427,0.4998,0.0168,0.5236
3428,0.4998,0.0168,0.5197
3429,0.4998,0.0171,0.5241
3430,0.4998,0.0171,0.5241
3431,0.5001,0.0170,0.5241
3432,0.5002,0.0167,0.5240
3433,0.5002,0.0168,0.5240
3434,0.5002,0.0166,0.5204
3435,0.5001,0.0165,0.5208
3436,0.5001,0.0166,0.5237
3437,0.5003,0.0165,0.5215
3438,0.5004,0.0165,0.5174
3439,0.5007,0.0165,0.5242
3440,0.5009,0.0163,0.5242
3441,0.5012,0.0163,0.5181
3442,0.5011,0.0163,0.5191
3443,0.5011,0.0161,0.5229
3444,0.5012,0.0162,0.5242
3445,0.5011,0.0162,0.5175
3446,0.5011,0.0162,0.5193
3447,0.5011,0.0165,0.5193
3448,0.5011,0.0165,0.5241
3449,0.5015,0.0167,0.5241
3450,0.5017,0.0168,0.5241
3451,0.5019,0.0171,0.5241
3452,0.5021,0.0169,0.5241
3453,0.5025,0.0166,0.5261
3454,0.5024,0.0166,0.5280
3455,0.5025,0.0164,0.5241
3456,0.5024,0.0164,0.5241
3457,0.5022,0.0164,0.5241
3458,0.5023,0.0164,0.5241
3459,0.5023,0.0164,0.5241
3460,0.5026,0.0164,0.5241
3461,0.5027,0.0162,0.5241
3462,0.5029,0.0161,0.5241
3463,0.5030,0.0160,0.5241
3464,0.5032,0.0161,0.5241
3465,0.5032,0.0160,0.5241
3466,0.5034,0.0159,0.5241
3467,0.5038,0.0155,0.5251
3468,0.5039,0.0155,0.5277
3469,0.5038,0.0155,0.5241
3470,0.5042,0.0154,0.5241
3471,0.5041,0.0153,0.5274
3472,0.5039,0.0153,0.5261
3473,0.5037,0.0157,0.5249
3474,0.5038,0.0157,0.5249
3475,0.5040,0.0156,0.5241
3476,0.5039,0.0154,0.5241
3477,0.5035,0.0157,0.5240
3478,0.5036,0.0158,0.5236
3479,0.5039,0.0156,0.5225
3480,0.5040,0.0154,0.5225
3481,0.5042,0.0154,0.5225
3482,0.5042,0.0154,0.5225
3483,0.5042,0.0152,0.5232
3484,0.5042,0.0154,0.5232
3485,0.5042,0.0152,0.5265
3486,0.5041,0.0152,0.5225
3487,0.5041,0.0152,0.5232
3488,0.5041,0.0151,0.5266
3489,0.5042,0.0150,0.5210
3490,0.5043,0.0151,0.5188
3491,0.5042,0.0150,0.5223
3492,0.5039,0.0150,0.5181
3493,0.5039,0.0150,0.5245
3494,0.5040,0.0150,0.5245
3495,0.5042,0.0142,0.5228
3496,0.5042,0.0141,0.5181
3497,0.5043,0.0141,0.5196
3498,0.5045,0.0141,0.5227
3499,0.5046,0.0139,0.5227
3500,0.5048,0.0137,0.5257
3501,0.5050,0.0136,0.5205
3502,0.5051,0.0135,0.5181
3503,0.5050,0.0135,0.5184
3504,0.5050,0.0135,0.5229
3505,0.5048,0.0134,0.5216
3506,0.5047,0.0134,0.5270
3507,0.5050,0.0133,0.5270
3508,0.5053,0.0131,0.5269
3509,0.5055,0.0131,0.5269
3510,0.5055,0.0129,0.5269
3511,0.5055,0.0131,0.5269
3512,0.5055,0.0131,0.5269
3513,0.5054,0.0134,0.5240
3514,0.5054,0.0134,0.5239
3515,0.5055,0.0134,0.5208
3516,0.5057,0.0133,0.5238
3517,0.5058,0.0133,0.5239
3518,0.5060,0.0131,0.5193
3519,0.5059,0.0133,0.5206
3520,0.5059,0.0133,0.5215
3521,0.5059,0.0132,0.5203
3522,0.5061,0.0132,0.5238
3523,0.5063,0.0131,0.5240
3524,0.5062,0.0137,0.5240
3525,0.5061,0.0138,0.5240
3526,0.5058,0.0138,0.5207
3527,0.5058,0.0139,0.5224
3528,0.5059,0.0140,0.5236
3529,0.5060,0.0139,0.5236
3530,0.5063,0.0137,0.5227
3531,0.5064,0.0137,0.5240
3532,0.5065,0.0137,0.5243
3533,0.5065,0.0136,0.5214
3534,0.5065,0.0136,0.5239
3535,0.5064,0.0138,0.5234
3536,0.5062,0.0140,0.5240
3537,0.5062,0.0139,0.5232
3538,0.5062,0.0140,0.5232
3539,0.5060,0.0139,0.5207
3540,0.5059,0.0140,0.5229
3541,0.5061,0.0141,0.5231
3542,0.5064,0.0140,0.5234
3543,0.5064,0.0140,0.5234
3544,0.5065,0.0138,0.5234
3545,0.5062,0.0139,0.5225
3546,0.5061,0.0139,0.5219
3547,0.5059,0.0139,0.5227
3548,0.5061,0.0138,0.5241
3549,0.5063,0.0138,0.5241
3550,0.5064,0.0138,0.5236
3551,0.5064,0.0138,0.5233
3552,0.5065,0.0138,0.5281
3553,0.5067,0.0138,0.5231
3554,0.5073,0.0141,0.5241
3555,0.5082,0.0148,0.5292
3556,0.5086,0.0149,0.5280
3557,0.5088,0.0148,0.5300
3558,0.5089,0.0147,0.5294
3559,0.5091,0.0148,0.5377
3560,0.5092,0.0148,0.5276
3561,0.5092,0.0149,0.5276
3562,0.5093,0.0149,0.5290
3563,0.5096,0.0150,0.5304
3564,0.5097,0.0150,0.5307
3565,0.5099,0.0149,0.5307
3566,0.5100,0.0150,0.5269
3567,0.5096,0.0157,0.5307
3568,0.5092,0.0162,0.5297
3569,0.5092,0.0162,0.5301
3570,0.5093,0.0159,0.5303
3571,0.5095,0.0158,0.5307
3572,0.5095,0.0158,0.5293
3573,0.5096,0.0159,0.5308
3574,0.5098,0.0159,0.5297
3575,0.5100,0.0157,0.5298
3576,0.5099,0.0159,0.5298
3577,0.5099,0.0157,0.5274
3578,0.5100,0.0155,0.5283
3579,0.5102,0.0152,0.5309
3580,0.5101,0.0151,0.5299
3581,0.5102,0.0153,0.5289
3582,0.5104,0.0153,0.5275
3583,0.5104,0.0154,0.5294
3584,0.5104,0.0155,0.5319
3585,0.5106,0.0157,0.5319
3586,0.5109,0.0156,0.5319
3587,0.5110,0.0156,0.5319
3588,0.5111,0.0156,0.5319
3589,0.5113,0.0157,0.5319
3590,0.5113,0.0159,0.5341
3591,0.5112,0.0160,0.5341
3592,0.5112,0.0159,0.5341
3593,0.5109,0.0161,0.5319
3594,0.5111,0.0160,0.5319
3595,0.5112,0.0158,0.5319
3596,0.5116,0.0156,0.5319
3597,0.5118,0.0157,0.5319
3598,0.5122,0.0161,0.5319
3599,0.5126,0.0166,0.5372
3600,0.5132,0.0168,0.5389
3601,0.5137,0.0170,0.5389
3602,0.5139,0.0169,0.5389
3603,0.5141,0.0169,0.5370
3604,0.5141,0.0168,0.5370
3605,0.5144,0.0168,0.5370
3606,0.5145,0.0170,0.5404
3607,0.5145,0.0170,0.5404
3608,0.5147,0.0171,0.5404
3609,0.5150,0.0170,0.5404
3610,0.5150,0.0170,0.5405
3611,0.5153,0.0169,0.5404
3612,0.5156,0.0166,0.5404
3613,0.5157,0.0166,0.5404
3614,0.5156,0.0165,0.5404
3615,0.5157,0.0165,0.5347
3616,0.5159,0.0164,0.5351
3617,0.5161,0.0164,0.5397
3618,0.5160,0.0163,0.5400
3619,0.5162,0.0162,0.5342
3620,0.5161,0.0161,0.5367
3621,0.5164,0.0149,0.5404
3622,0.5160,0.0151,0.5341
3623,0.5162,0.0149,0.5330
3624,0.5163,0.0149,0.5408
3625,0.5165,0.0150,0.5384
3626,0.5165,0.0150,0.5385
3627,0.5167,0.0151,0.5364
3628,0.5169,0.0149,0.5343
3629,0.5171,0.0148,0.5407
3630,0.5175,0.0147,0.5407
3631,0.5178,0.0147,0.5407
3632,0.5180,0.0146,0.5407
3633,0.5178,0.0147,0.5405
3634,0.5178,0.0147,0.5347
3635,0.5178,0.0149,0.5400
3636,0.5183,0.0144,0.5378
3637,0.5185,0.0142,0.5379
3638,0.5184,0.0142,0.5398
3639,0.5183,0.0143,0.5398
3640,0.5179,0.0151,0.5398
3641,0.5177,0.0156,0.5373
3642,0.5178,0.0156,0.5393
3643,0.5178,0.0156,0.5359
3644,0.5175,0.0157,0.5396
3645,0.5174,0.0159,0.5396
3646,0.5174,0.0161,0.5396
3647,0.5176,0.0160,0.5396
3648,0.5177,0.0161,0.5396
3649,0.5178,0.0159,0.5410
3650,0.5183,0.0155,0.5405
3651,0.5186,0.0151,0.5349
3652,0.5189,0.0150,0.5385
3653,0.5192,0.0149,0.5400
3654,0.5191,0.0150,0.5407
3655,0.5190,0.0150,0.5319
3656,0.5191,0.0148,0.5393
3657,0.5192,0.0148,0.5383
3658,0.5195,0.0148,0.5403
3659,0.5195,0.0147,0.5403
3660,0.5195,0.0145,0.5371
3661,0.5196,0.0144,0.5341
3662,0.5199,0.0142,0.5401
3663,0.5199,0.0144,0.5341
3664,0.5201,0.0143,0.5341
3665,0.5202,0.0144,0.5361
3666,0.5204,0.0145,0.5396
3667,0.5206,0.0144,0.5406
3668,0.5208,0.0143,0.5393
3669,0.5210,0.0144,0.5392
3670,0.5210,0.0143,0.5409
3671,0.5209,0.0147,0.5376
3672,0.5214,0.0143,0.5371
3673,0.5215,0.0143,0.5424
3674,0.5216,0.0144,0.5424
3675,0.5218,0.0144,0.5370
3676,0.5220,0.0142,0.5399
3677,0.5224,0.0141,0.5443
3678,0.5226,0.0143,0.5443
3679,0.5228,0.0140,0.5443
3680,0.5228,0.0141,0.5443
3681,0.5231,0.0140,0.5443
3682,0.5231,0.0141,0.5443
3683,0.5232,0.0142,0.5443
3684,0.5232,0.0142,0.5373
3685,0.5231,0.0142,0.5408
3686,0.5231,0.0143,0.5361
3687,0.5232,0.0143,0.5413
3688,0.5232,0.0142,0.5396
3689,0.5235,0.0139,0.5361
3690,0.5236,0.0139,0.5453
3691,0.5234,0.0140,0.5432
3692,0.5232,0.0141,0.5432
3693,0.5233,0.0141,0.5397
3694,0.5234,0.0140,0.5437
3695,0.5236,0.0140,0.5407
3696,0.5237,0.0140,0.5407
3697,0.5239,0.0138,0.5400
3698,0.5240,0.0137,0.5437
3699,0.5240,0.0138,0.5436
3700,0.5240,0.0138,0.5394
3701,0.5241,0.0137,0.5405
3702,0.5243,0.0138,0.5392
3703,0.5244,0.0138,0.5417
3704,0.5243,0.0138,0.5426
3705,0.5243,0.0138,0.5444
3706,0.5244,0.0139,0.5436
3707,0.5245,0.0139,0.5427
3708,0.5245,0.0138,0.5446
3709,0.5245,0.0139,0.5430
3710,0.5244,0.0139,0.5401
3711,0.5246,0.0139,0.5400
3712,0.5247,0.0138,0.5417
3713,0.5244,0.0141,0.5449
3714,0.5241,0.0145,0.5449
3715,0.5238,0.0148,0.5436
3716,0.5240,0.0148,0.5427
3717,0.5242,0.0148,0.5427
3718,0.5240,0.0147,0.5427
3719,0.5239,0.0145,0.5427
3720,0.5238,0.0145,0.5449
3721,0.5238,0.0144,0.5405
3722,0.5238,0.0145,0.5444
3723,0.5240,0.0142,0.5444
3724,0.5242,0.0140,0.5445
3725,0.5244,0.0139,0.5488
3726,0.5247,0.0138,0.5405
3727,0.5246,0.0139,0.5393
3728,0.5244,0.0142,0.5391
3729,0.5241,0.0144,0.5454
3730,0.5242,0.0144,0.5434
3731,0.5242,0.0146,0.5434
3732,0.5241,0.0145,0.5434
3733,0.5243,0.0141,0.5488
3734,0.5246,0.0140,0.5442
3735,0.5247,0.0139,0.5456
3736,0.5246,0.0139,0.5437
3737,0.5245,0.0141,0.5438
3738,0.5246,0.0141,0.5460
3739,0.5249,0.0142,0.5460
3740,0.5251,0.0143,0.5460
3741,0.5250,0.0142,0.5460
3742,0.5249,0.0141,0.5460
3743,0.5249,0.0141,0.5460
3744,0.5250,0.0141,0.5460
3745,0.5248,0.0144,0.5460
3746,0.5245,0.0146,0.5460
3747,0.5246,0.0146,0.5460
3748,0.5248,0.0145,0.5460
3749,0.5248,0.0145,0.5391
3750,0.5250,0.0145,0.5391
3751,0.5255,0.0140,0.5440
3752,0.5258,0.0134,0.5455
3753,0.5258,0.0132,0.5411
3754,0.5260,0.0131,0.5475
3755,0.5265,0.0131,0.5475
3756,0.5271,0.0132,0.5475
3757,0.5274,0.0134,0.5475
3758,0.5276,0.0137,0.5482
3759,0.5276,0.0140,0.5475
3760,0.5274,0.0142,0.5493
3761,0.5276,0.0142,0.5491
3762,0.5277,0.0143,0.5504
3763,0.5277,0.0143,0.5504
