gen,mean p,sigma p,max p,mean u,sigma u,sigma deg
176,0.0010,0.0023,0.0204,9.8562,1.1905,1.9969
177,0.0010,0.0022,0.0169,9.8627,1.1648,1.9919
178,0.0010,0.0023,0.0169,9.8562,1.1905,1.9975
179,0.0010,0.0022,0.0169,9.8561,1.1905,1.9786
180,0.0010,0.0023,0.0169,9.8627,1.1648,1.9720
181,0.0010,0.0023,0.0169,9.8444,1.2405,1.9729
182,0.0009,0.0022,0.0169,9.8433,1.2404,1.9685
183,0.0009,0.0022,0.0169,9.8623,1.1647,1.9580
184,0.0010,0.0023,0.0117,9.8689,1.1384,1.9641
185,0.0010,0.0022,0.0171,9.8685,1.1383,1.9618
186,0.0009,0.0022,0.0171,9.8748,1.1112,1.9650
187,0.0009,0.0022,0.0171,9.8624,1.1647,1.9710
188,0.0009,0.0022,0.0171,9.8560,1.1905,1.9733
189,0.0009,0.0022,0.0171,9.8562,1.1905,1.9767
190,0.0009,0.0022,0.0117,9.8624,1.1647,1.9739
191,0.0009,0.0022,0.0117,9.8752,1.1113,1.9625
192,0.0009,0.0022,0.0117,9.8750,1.1112,1.9682
193,0.0009,0.0021,0.0166,9.8750,1.1112,1.9631
194,0.0009,0.0021,0.0166,9.8751,1.1112,1.9586
195,0.0009,0.0022,0.0166,9.8814,1.0835,1.9637
196,0.0009,0.0021,0.0166,9.8810,1.0835,1.9599
197,0.0009,0.0021,0.0153,9.8749,1.1112,1.9615
198,0.0009,0.0021,0.0153,9.8752,1.1113,1.9704
199,0.0009,0.0022,0.0153,9.8685,1.1383,1.9764
200,0.0010,0.0021,0.0153,9.8687,1.1383,1.9796
