p,mean p omega,u,deg
0.9840,0.9844,9.8939,3.0000
0.9812,0.9798,10.0060,5.0000
0.9776,0.9738,10.0856,5.0000
0.9808,0.9853,9.9897,12.0000
0.9786,0.9820,9.9387,1.0000
0.9870,0.9776,10.0444,4.0000
0.9778,0.9806,9.9979,3.0000
0.9901,NaN,9.9135,0.0000
0.9901,0.9843,9.9879,9.0000
0.9826,0.9777,9.9564,3.0000
0.9623,0.9847,9.7364,2.0000
0.9753,0.9731,9.9919,3.0000
0.9855,0.9851,9.9698,4.0000
0.9843,0.9823,10.0944,2.0000
0.9964,0.9820,10.0261,5.0000
0.9964,0.9858,10.0008,5.0000
0.9835,0.9873,9.8878,5.0000
0.9629,0.9810,9.9315,2.0000
0.9870,0.9746,9.9273,3.0000
0.9722,0.9832,10.0275,4.0000
0.9826,0.9743,9.9923,4.0000
0.9837,0.9901,10.1416,1.0000
0.9837,0.9776,9.9877,4.0000
0.9964,0.9805,9.9453,3.0000
0.9841,0.9832,9.9481,4.0000
0.9808,0.9808,9.9661,9.0000
0.9766,0.9758,10.0633,4.0000
0.9901,0.9773,10.0347,3.0000
0.9812,0.9795,10.0142,4.0000
0.9855,0.9778,10.0103,5.0000
0.9927,0.9851,9.8831,5.0000
0.9776,0.9677,10.0854,2.0000
0.9778,0.9863,9.9394,4.0000
0.9805,0.9685,10.0909,2.0000
0.9820,0.9802,9.9787,6.0000
0.9837,0.9803,10.1497,3.0000
1.0000,0.9719,10.2814,1.0000
0.9607,0.9698,9.7125,1.0000
0.9992,0.9830,10.1249,4.0000
0.9807,0.9870,9.9516,5.0000
0.9835,0.9787,9.9913,4.0000
0.9855,0.9740,9.9469,4.0000
0.9778,0.9916,9.7825,3.0000
0.9901,0.9922,9.9492,3.0000
0.9855,0.9827,9.9731,2.0000
0.9807,0.9840,9.9638,6.0000
0.9985,0.9830,10.1375,3.0000
0.9870,0.9818,9.9287,3.0000
0.9807,0.9808,10.0085,5.0000
0.9737,0.9820,9.9673,4.0000
0.9776,0.9795,10.0377,5.0000
0.9809,0.9814,10.0230,2.0000
0.9951,0.9763,10.0673,7.0000
0.9800,0.9797,10.0216,4.0000
0.9763,0.9860,9.8647,3.0000
0.9776,0.9859,9.8657,10.0000
0.9776,0.9817,10.0143,3.0000
0.9805,0.9725,10.1189,6.0000
0.9786,0.9819,10.0823,6.0000
0.9623,0.9820,9.9775,2.0000
0.9801,0.9835,9.9822,3.0000
0.9807,0.9772,10.0166,5.0000
0.9863,0.9853,10.0641,4.0000
0.9808,0.9714,10.0733,3.0000
0.9792,0.9835,9.9714,2.0000
0.9927,0.9850,10.0045,5.0000
0.9776,0.9812,9.9181,5.0000
0.9809,0.9878,9.9040,3.0000
0.9922,0.9677,10.2211,4.0000
0.9698,0.9833,9.9491,5.0000
0.9870,0.9790,10.1343,4.0000
0.9809,0.9822,9.9338,6.0000
0.9837,0.9769,10.0598,3.0000
0.9623,0.9791,9.9140,3.0000
0.9826,0.9794,10.0136,6.0000
0.9592,0.9824,9.9188,6.0000
0.9835,0.9846,9.9691,6.0000
0.9835,0.9786,10.0148,1.0000
0.9865,NaN,0.0000,0.0000
0.9776,0.9703,10.0730,2.0000
0.9715,0.9874,9.9298,4.0000
0.9778,0.9864,9.9342,5.0000
0.9776,0.9896,9.9965,7.0000
0.9836,0.9787,10.2211,3.0000
0.9843,0.9839,9.9014,2.0000
0.9845,0.9872,9.9419,2.0000
0.9870,0.9849,10.0996,2.0000
0.9820,0.9906,9.9056,6.0000
0.9985,0.9799,10.2030,10.0000
0.9703,0.9798,10.1002,5.0000
0.9841,0.9803,10.0752,5.0000
0.9801,0.9854,10.0036,5.0000
0.9729,0.9834,10.0406,3.0000
0.9843,0.9850,10.0000,4.0000
0.9776,0.9605,10.1781,2.0000
0.9948,0.9828,10.0374,4.0000
0.9927,0.9826,10.1307,4.0000
0.9695,0.9809,9.9700,3.0000
0.9778,0.9817,10.0209,3.0000
0.9779,0.9765,9.8806,7.0000
0.9895,0.9855,9.8948,1.0000
0.9753,0.9799,9.9025,3.0000
0.9841,0.9844,9.9747,8.0000
0.9729,0.9846,9.9197,4.0000
0.9733,0.9810,9.9985,7.0000
0.9555,0.9729,9.8255,1.0000
0.9870,0.9778,10.1181,5.0000
0.9870,0.9811,9.9890,3.0000
0.9623,0.9780,10.0562,6.0000
0.9786,0.9884,9.9905,2.0000
0.9863,0.9900,9.8976,4.0000
0.9763,0.9823,9.9332,2.0000
0.9715,0.9757,9.9953,6.0000
0.9852,0.9712,10.0722,7.0000
0.9776,0.9764,10.0282,7.0000
0.9863,0.9843,10.0440,3.0000
0.9719,0.9807,9.8755,5.0000
0.9776,0.9859,9.9210,5.0000
0.9801,0.9763,10.0029,5.0000
0.9776,0.9820,10.0778,1.0000
0.9870,0.9887,9.9719,5.0000
0.9837,0.9648,10.1193,4.0000
0.9852,0.9868,9.8927,4.0000
1.0000,0.9771,9.9452,3.0000
0.9843,0.9838,9.9161,5.0000
0.9729,0.9803,10.0628,12.0000
0.9623,0.9775,9.8741,3.0000
0.9786,0.9821,9.9359,8.0000
0.9719,0.9853,9.8872,3.0000
0.9948,0.9861,9.9950,7.0000
0.9871,0.9843,10.0082,1.0000
0.9728,0.9766,9.8577,1.0000
0.9964,0.9808,9.9799,10.0000
0.9826,0.9607,10.1964,2.0000
0.9776,0.9820,9.8848,1.0000
0.9766,0.9858,9.9727,4.0000
0.9786,0.9822,10.0368,3.0000
0.9842,0.9808,10.1594,4.0000
0.9733,0.9711,10.1250,3.0000
0.9780,0.9876,9.8596,6.0000
0.9623,0.9678,10.0865,5.0000
0.9729,0.9861,9.9610,4.0000
0.9623,0.9841,9.7819,1.0000
0.9776,0.9808,9.9551,3.0000
0.9812,0.9801,9.9273,8.0000
0.9841,0.9822,10.0109,8.0000
0.9719,0.9809,9.9390,4.0000
0.9809,0.9881,9.9707,3.0000
0.9870,0.9790,9.9914,5.0000
0.9843,0.9830,10.0154,5.0000
0.9865,0.9799,10.0418,9.0000
0.9779,0.9768,10.2341,6.0000
0.9776,NaN,0.0000,0.0000
0.9801,0.9820,9.9060,1.0000
0.9801,0.9809,10.0328,5.0000
0.9812,0.9813,10.0820,3.0000
0.9851,0.9787,9.9551,6.0000
0.9817,0.9661,10.1564,1.0000
0.9809,0.9812,9.9026,6.0000
0.9807,0.9891,9.6371,7.0000
0.9719,0.9866,9.8969,2.0000
0.9843,0.9733,10.1322,2.0000
0.9823,0.9824,10.0389,5.0000
0.9722,0.9797,9.9853,4.0000
0.9776,0.9840,10.0252,8.0000
0.9786,0.9841,9.9210,4.0000
0.9896,0.9821,10.0350,3.0000
0.9756,0.9803,10.0127,7.0000
0.9865,0.9615,10.1225,2.0000
0.9863,0.9841,10.1154,1.0000
0.9922,0.9794,10.0029,5.0000
0.9820,0.9841,9.9785,1.0000
0.9895,0.9808,9.9975,5.0000
0.9820,0.9828,10.0272,6.0000
0.9809,0.9816,9.9519,5.0000
0.9820,0.9592,10.2281,1.0000
0.9805,0.9800,9.9242,2.0000
0.9901,0.9777,10.1182,2.0000
0.9826,0.9843,9.9342,2.0000
0.9809,0.9842,9.9462,7.0000
0.9623,0.9850,9.8748,5.0000
0.9776,0.9775,9.9937,2.0000
0.9776,0.9776,9.9899,1.0000
0.9841,0.9843,10.0135,6.0000
0.9807,0.9784,10.1003,5.0000
0.9843,0.9747,10.0159,4.0000
0.9820,0.9782,10.1030,2.0000
0.9786,0.9799,9.9769,4.0000
0.9835,0.9812,10.0151,6.0000
0.9786,0.9799,9.8595,2.0000
0.9805,0.9854,9.9757,5.0000
0.9776,0.9796,9.9878,4.0000
0.9786,0.9810,10.0267,6.0000
0.9719,0.9656,9.8753,1.0000
0.9786,0.9782,10.0042,2.0000
0.9719,0.9852,9.9640,3.0000
0.9807,0.9851,9.8596,4.0000
0.9841,0.9843,10.0087,5.0000
0.9805,0.9784,9.8553,4.0000
0.9656,0.9804,9.8812,12.0000
0.9807,0.9737,10.0206,1.0000
0.9779,0.9670,10.1996,2.0000
0.9901,0.9824,10.0147,3.0000
1.0000,0.9847,10.0147,4.0000
0.9695,0.9786,9.9758,5.0000
0.9829,0.9798,10.0368,3.0000
0.9776,0.9778,10.0159,2.0000
0.9889,0.9837,9.9708,4.0000
0.9843,0.9788,10.1443,3.0000
0.9730,0.9818,9.9422,3.0000
0.9826,0.9822,9.9525,3.0000
0.9855,0.9766,9.9538,1.0000
0.9842,0.9824,9.9375,3.0000
0.9746,NaN,0.0000,0.0000
0.9656,0.9743,9.9398,7.0000
