gen,mean p,sigma p,max p,mean u,sigma u,sigma deg
435,0.9911,0.0073,1.0000,9.8004,1.4027,2.0878
436,0.9912,0.0073,1.0000,9.8075,1.3811,2.0809
437,0.9911,0.0073,1.0000,9.7983,1.4023,2.0842
438,0.9912,0.0073,1.0000,9.7750,1.4855,2.0875
439,0.9910,0.0071,1.0000,9.7554,1.5442,2.0830
440,0.9911,0.0070,1.0000,9.7693,1.5052,2.0821
441,0.9912,0.0072,1.0000,9.7567,1.5442,2.0824
442,0.9911,0.0074,1.0000,9.7434,1.5822,2.0952
443,0.9913,0.0073,1.0000,9.7508,1.5638,2.1036
444,0.9914,0.0073,1.0000,9.7500,1.5635,2.1036
445,0.9913,0.0073,1.0000,9.7814,1.4652,2.0976
446,0.9916,0.0071,1.0000,9.7876,1.4446,2.0851
447,0.9917,0.0070,1.0000,9.7753,1.4854,2.1027
448,0.9918,0.0069,1.0000,9.7938,1.4235,2.1027
449,0.9918,0.0068,1.0000,9.7883,1.4444,2.1095
450,0.9918,0.0068,1.0000,9.7873,1.4441,2.1139
451,0.9920,0.0068,1.0000,9.8000,1.4021,2.1175
452,0.9923,0.0066,1.0000,9.7816,1.4648,2.1142
453,0.9922,0.0066,1.0000,9.8003,1.4022,2.0952
454,0.9924,0.0066,1.0000,9.8005,1.4022,2.0860
455,0.9920,0.0067,1.0000,9.8119,1.3585,2.0899
456,0.9920,0.0066,1.0000,9.8188,1.3363,2.0902
457,0.9921,0.0066,1.0000,9.8251,1.3136,2.0794
458,0.9921,0.0066,1.0000,9.8305,1.2903,2.0752
459,0.9924,0.0065,1.0000,9.8205,1.3365,2.0890
460,0.9925,0.0065,1.0000,9.8131,1.3587,2.0794
461,0.9924,0.0065,1.0000,9.8184,1.3363,2.0866
462,0.9925,0.0065,1.0000,9.8385,1.2668,2.0752
463,0.9926,0.0064,1.0000,9.8635,1.1670,2.0776
464,0.9927,0.0064,1.0000,9.8684,1.1406,2.0709
465,0.9928,0.0065,1.0000,9.8627,1.1672,2.0476
466,0.9933,0.0063,1.0000,9.8530,1.2183,2.0527
467,0.9933,0.0063,1.0000,9.8369,1.2664,2.0612
468,0.9935,0.0061,1.0000,9.8198,1.3362,2.0588
469,0.9934,0.0061,1.0000,9.8312,1.2900,2.0727
470,0.9935,0.0061,1.0000,9.8320,1.2901,2.0661
471,0.9934,0.0062,1.0000,9.8048,1.3799,2.0652
472,0.9932,0.0062,1.0000,9.8062,1.3802,2.0824
473,0.9933,0.0061,1.0000,9.8119,1.3582,2.0824
474,0.9931,0.0062,1.0000,9.7996,1.4016,2.0881
475,0.9932,0.0061,1.0000,9.7681,1.5045,2.0914
476,0.9933,0.0060,1.0000,9.7631,1.5244,2.1000
477,0.9932,0.0059,1.0000,9.7607,1.5240,2.0890
478,0.9931,0.0060,1.0000,9.7766,1.4849,2.0982
479,0.9929,0.0060,1.0000,9.7983,1.4015,2.0709
480,0.9931,0.0059,1.0000,9.8011,1.4018,2.0712
481,0.9931,0.0059,1.0000,9.7944,1.4231,2.0925
482,0.9929,0.0061,1.0000,9.7930,1.4230,2.0982
483,0.9929,0.0060,1.0000,9.7951,1.4233,2.0779
484,0.9930,0.0059,1.0000,9.7999,1.4019,2.0806
485,0.9930,0.0060,1.0000,9.8070,1.3803,2.0761
486,0.9931,0.0059,1.0000,9.7992,1.4017,2.0637
487,0.9934,0.0059,1.0000,9.8140,1.3584,2.0688
488,0.9934,0.0058,1.0000,9.8184,1.3358,2.0564
489,0.9936,0.0056,1.0000,9.8124,1.3580,2.0378
490,0.9938,0.0056,1.0000,9.8193,1.3356,2.0451
491,0.9935,0.0057,1.0000,9.8059,1.3799,2.0576
492,0.9935,0.0055,1.0000,9.8064,1.3801,2.0585
493,0.9936,0.0055,1.0000,9.8003,1.4016,2.0543
494,0.9936,0.0055,1.0000,9.8117,1.3579,2.0637
495,0.9937,0.0056,1.0000,9.8261,1.3130,2.0588
496,0.9935,0.0056,1.0000,9.8176,1.3354,2.0411
497,0.9937,0.0056,1.0000,9.8260,1.3130,2.0338
498,0.9938,0.0056,1.0000,9.8623,1.1663,2.0190
499,0.9938,0.0055,1.0000,9.8567,1.1921,2.0140
500,0.9939,0.0055,1.0000,9.8430,1.2417,2.0153
501,0.9941,0.0055,1.0000,9.8381,1.2660,2.0193
502,0.9942,0.0054,1.0000,9.8318,1.2896,2.0252
503,0.9942,0.0053,1.0000,9.8303,1.2893,2.0301
504,0.9944,0.0054,1.0000,9.8262,1.3128,2.0384
505,0.9944,0.0055,1.0000,9.8054,1.3796,2.0588
506,0.9946,0.0055,1.0000,9.8255,1.3127,2.0643
507,0.9943,0.0057,1.0000,9.8175,1.3354,2.0619
508,0.9944,0.0057,1.0000,9.8134,1.3582,2.0534
509,0.9941,0.0059,1.0000,9.8054,1.3799,2.0673
510,0.9942,0.0059,1.0000,9.8257,1.3131,2.0709
511,0.9941,0.0060,1.0000,9.8296,1.2896,2.0679
512,0.9940,0.0061,1.0000,9.8191,1.3358,2.0667
513,0.9941,0.0060,1.0000,9.8183,1.3358,2.0776
514,0.9943,0.0058,1.0000,9.8080,1.3804,2.0812
515,0.9942,0.0059,1.0000,9.8068,1.3801,2.0748
516,0.9940,0.0060,1.0000,9.8188,1.3359,2.0640
517,0.9943,0.0059,1.0000,9.8192,1.3359,2.0679
518,0.9945,0.0057,1.0000,9.7942,1.4230,2.0745
519,0.9944,0.0057,1.0000,9.7930,1.4228,2.0821
520,0.9943,0.0057,1.0000,9.8126,1.3580,2.0809
521,0.9944,0.0057,1.0000,9.8194,1.3357,2.0946
522,0.9942,0.0060,1.0000,9.8180,1.3357,2.0991
523,0.9944,0.0058,1.0000,9.8261,1.3134,2.1074
524,0.9945,0.0057,1.0000,9.8438,1.2421,2.1009
525,0.9945,0.0056,1.0000,9.8373,1.2662,2.0925
526,0.9947,0.0055,1.0000,9.8389,1.2663,2.0854
527,0.9947,0.0056,1.0000,9.8362,1.2659,2.0815
528,0.9948,0.0056,1.0000,9.8509,1.2175,2.0776
529,0.9948,0.0055,1.0000,9.8372,1.2660,2.0761
530,0.9948,0.0057,1.0000,9.8316,1.2898,2.0857
531,0.9947,0.0057,1.0000,9.8189,1.3357,2.0851
532,0.9948,0.0058,1.0000,9.8070,1.3801,2.0973
533,0.9949,0.0058,1.0000,9.8129,1.3582,2.1089
534,0.9950,0.0058,1.0000,9.8125,1.3581,2.1228
535,0.9951,0.0057,1.0000,9.7947,1.4231,2.1337
536,0.9952,0.0055,1.0000,9.7878,1.4438,2.1260
537,0.9956,0.0052,1.0000,9.7823,1.4644,2.1310
538,0.9955,0.0052,1.0000,9.7816,1.4642,2.1310
539,0.9956,0.0053,1.0000,9.8063,1.3798,2.1369
540,0.9956,0.0052,1.0000,9.8251,1.3127,2.1360
541,0.9957,0.0052,1.0000,9.8000,1.4012,2.1372
542,0.9956,0.0052,1.0000,9.8067,1.3797,2.1448
543,0.9955,0.0054,1.0000,9.7940,1.4227,2.1240
544,0.9955,0.0053,1.0000,9.8193,1.3357,2.1213
545,0.9956,0.0054,1.0000,9.8064,1.3799,2.1210
546,0.9956,0.0052,1.0000,9.7937,1.4227,2.1246
547,0.9955,0.0053,1.0000,9.7873,1.4434,2.1278
548,0.9954,0.0054,1.0000,9.7811,1.4640,2.1348
549,0.9954,0.0053,1.0000,9.7751,1.4843,2.1357
550,0.9954,0.0053,1.0000,9.7808,1.4639,2.1139
551,0.9955,0.0052,1.0000,9.7757,1.4844,2.1125
552,0.9953,0.0053,1.0000,9.7751,1.4843,2.1074
553,0.9954,0.0053,1.0000,9.7757,1.4844,2.1089
554,0.9955,0.0054,1.0000,9.8001,1.4014,2.1012
555,0.9953,0.0055,1.0000,9.7991,1.4014,2.1136
556,0.9956,0.0052,1.0000,9.8141,1.3581,2.1077
557,0.9954,0.0054,1.0000,9.8291,1.2893,2.0997
558,0.9953,0.0053,1.0000,9.8259,1.3130,2.1272
559,0.9953,0.0053,1.0000,9.8240,1.3127,2.1254
560,0.9956,0.0051,1.0000,9.8332,1.2898,2.1266
561,0.9954,0.0054,1.0000,9.8053,1.3796,2.1293
562,0.9955,0.0053,1.0000,9.8001,1.4015,2.1304
563,0.9956,0.0053,1.0000,9.8190,1.3356,2.1166
564,0.9954,0.0055,1.0000,9.8043,1.3796,2.1172
565,0.9955,0.0055,1.0000,9.7878,1.4436,2.1125
566,0.9955,0.0054,1.0000,9.7815,1.4641,2.1051
567,0.9954,0.0056,1.0000,9.7816,1.4643,2.1131
568,0.9955,0.0056,1.0000,9.7618,1.5240,2.1148
569,0.9956,0.0055,1.0000,9.7878,1.4437,2.1101
570,0.9957,0.0055,1.0000,9.7877,1.4436,2.0943
571,0.9956,0.0058,1.0000,9.8121,1.3579,2.0922
572,0.9958,0.0055,1.0000,9.8133,1.3582,2.1068
573,0.9959,0.0055,1.0000,9.8004,1.4016,2.0994
574,0.9959,0.0054,1.0000,9.7938,1.4227,2.0827
575,0.9960,0.0052,1.0000,9.8003,1.4015,2.0914
576,0.9961,0.0051,1.0000,9.8007,1.4014,2.0770
577,0.9962,0.0050,1.0000,9.7998,1.4011,2.0878
578,0.9963,0.0049,1.0000,9.7813,1.4639,2.0815
579,0.9963,0.0049,1.0000,9.7691,1.5040,2.0721
580,0.9964,0.0048,1.0000,9.7880,1.4433,2.0694
581,0.9964,0.0047,1.0000,9.7752,1.4841,2.0543
582,0.9965,0.0046,1.0000,9.7946,1.4224,2.0634
583,0.9966,0.0046,1.0000,9.7872,1.4431,2.0758
584,0.9966,0.0047,1.0000,9.8005,1.4011,2.0785
585,0.9966,0.0046,1.0000,9.7814,1.4637,2.0634
586,0.9966,0.0046,1.0000,9.8183,1.3350,2.0688
587,0.9966,0.0046,1.0000,9.8313,1.2892,2.0703
588,0.9965,0.0048,1.0000,9.8433,1.2412,2.0902
589,0.9963,0.0049,1.0000,9.8439,1.2415,2.0899
590,0.9963,0.0049,1.0000,9.8445,1.2416,2.0955
591,0.9961,0.0050,1.0000,9.8488,1.2168,2.0946
592,0.9963,0.0047,1.0000,9.8567,1.1917,2.0908
593,0.9963,0.0048,1.0000,9.8565,1.1916,2.0857
594,0.9963,0.0049,1.0000,9.8616,1.1657,2.0809
595,0.9964,0.0047,1.0000,9.8691,1.1394,2.0724
596,0.9962,0.0048,1.0000,9.8756,1.1124,2.0773
597,0.9963,0.0046,1.0000,9.8690,1.1394,2.0742
598,0.9964,0.0045,1.0000,9.8810,1.0845,2.0649
599,0.9964,0.0045,1.0000,9.8699,1.1394,2.0555
600,0.9963,0.0046,1.0000,9.8625,1.1657,2.0537
601,0.9963,0.0045,1.0000,9.8630,1.1658,2.0637
602,0.9963,0.0045,1.0000,9.8558,1.1914,2.0558
603,0.9965,0.0044,1.0000,9.8689,1.1392,2.0573
604,0.9965,0.0044,1.0000,9.8627,1.1657,2.0661
605,0.9968,0.0042,1.0000,9.8692,1.1393,2.0739
606,0.9967,0.0042,1.0000,9.8753,1.1122,2.0694
607,0.9968,0.0042,1.0000,9.8693,1.1393,2.0761
608,0.9967,0.0042,1.0000,9.8745,1.1121,2.0815
609,0.9968,0.0042,1.0000,9.8623,1.1656,2.0884
610,0.9966,0.0043,1.0000,9.8504,1.2166,2.0961
611,0.9967,0.0043,1.0000,9.8558,1.1913,2.0937
612,0.9967,0.0044,1.0000,9.8565,1.1914,2.0949
613,0.9967,0.0044,1.0000,9.8564,1.1914,2.1039
614,0.9966,0.0044,1.0000,9.8370,1.2653,2.1098
615,0.9966,0.0045,1.0000,9.8437,1.2412,2.1334
616,0.9968,0.0042,1.0000,9.8326,1.2892,2.1416
617,0.9969,0.0041,1.0000,9.8439,1.2412,2.1328
618,0.9970,0.0041,1.0000,9.8373,1.2652,2.1257
619,0.9971,0.0039,1.0000,9.8317,1.2890,2.1169
620,0.9970,0.0041,1.0000,9.8248,1.3121,2.1110
621,0.9969,0.0041,1.0000,9.8247,1.3121,2.1095
622,0.9968,0.0042,1.0000,9.8177,1.3349,2.1231
623,0.9969,0.0041,1.0000,9.8256,1.3123,2.1340
624,0.9969,0.0042,1.0000,9.8185,1.3349,2.1337
625,0.9968,0.0043,1.0000,9.8122,1.3572,2.1257
626,0.9968,0.0043,1.0000,9.8122,1.3573,2.1086
627,0.9968,0.0044,1.0000,9.7991,1.4008,2.1166
628,0.9969,0.0043,1.0000,9.7883,1.4432,2.1086
629,0.9968,0.0043,1.0000,9.7742,1.4838,2.1131
630,0.9969,0.0042,1.0000,9.7946,1.4223,2.1196
631,0.9967,0.0043,1.0000,9.8057,1.3792,2.1307
632,0.9966,0.0044,1.0000,9.8051,1.3791,2.1413
633,0.9967,0.0042,1.0000,9.8079,1.3796,2.1383
634,0.9967,0.0043,1.0000,9.7994,1.4007,2.1395
635,0.9966,0.0044,1.0000,9.7938,1.4221,2.1474
636,0.9965,0.0044,1.0000,9.8052,1.3792,2.1477
637,0.9968,0.0043,1.0000,9.8134,1.3576,2.1485
638,0.9967,0.0044,1.0000,9.8249,1.3122,2.1363
639,0.9967,0.0043,1.0000,9.8373,1.2655,2.1234
640,0.9966,0.0043,1.0000,9.8440,1.2413,2.1151
641,0.9966,0.0044,1.0000,9.8451,1.2414,2.1095
642,0.9966,0.0046,1.0000,9.8428,1.2412,2.1095
643,0.9966,0.0046,1.0000,9.8385,1.2656,2.1083
644,0.9967,0.0046,1.0000,9.8373,1.2655,2.1054
645,0.9966,0.0046,1.0000,9.8631,1.1659,2.1015
646,0.9967,0.0045,1.0000,9.8503,1.2168,2.1003
647,0.9966,0.0045,1.0000,9.8624,1.1657,2.0979
648,0.9965,0.0046,1.0000,9.8619,1.1657,2.1018
649,0.9965,0.0047,1.0000,9.8508,1.2169,2.1006
650,0.9965,0.0048,1.0000,9.8499,1.2168,2.0985
651,0.9965,0.0048,1.0000,9.8508,1.2169,2.1033
652,0.9965,0.0046,1.0000,9.8187,1.3352,2.1045
653,0.9965,0.0048,1.0000,9.8066,1.3796,2.0994
654,0.9967,0.0046,1.0000,9.7939,1.4224,2.0973
655,0.9967,0.0046,1.0000,9.7929,1.4221,2.0917
656,0.9967,0.0045,1.0000,9.8185,1.3351,2.0940
657,0.9967,0.0046,1.0000,9.8376,1.2654,2.0946
658,0.9965,0.0047,1.0000,9.8432,1.2413,2.0890
659,0.9965,0.0046,1.0000,9.8567,1.1916,2.0958
660,0.9966,0.0046,1.0000,9.8495,1.2167,2.1062
661,0.9966,0.0045,1.0000,9.8446,1.2415,2.1045
662,0.9965,0.0046,1.0000,9.8434,1.2413,2.1042
663,0.9967,0.0044,1.0000,9.8255,1.3124,2.1039
664,0.9967,0.0045,1.0000,9.8313,1.2891,2.1083
665,0.9968,0.0044,1.0000,9.8256,1.3124,2.0797
666,0.9968,0.0045,1.0000,9.8379,1.2655,2.0724
667,0.9966,0.0046,1.0000,9.8371,1.2654,2.0558
668,0.9965,0.0046,1.0000,9.8502,1.2167,2.0594
669,0.9967,0.0045,1.0000,9.8438,1.2414,2.0736
670,0.9966,0.0044,1.0000,9.8631,1.1658,2.0700
671,0.9968,0.0042,1.0000,9.8688,1.1393,2.0679
672,0.9968,0.0042,1.0000,9.8628,1.1655,2.0815
673,0.9969,0.0042,1.0000,9.8504,1.2166,2.0727
674,0.9969,0.0042,1.0000,9.8386,1.2654,2.0848
675,0.9968,0.0042,1.0000,9.8120,1.3572,2.1071
676,0.9967,0.0043,1.0000,9.8126,1.3573,2.1083
677,0.9968,0.0043,1.0000,9.8133,1.3574,2.1045
678,0.9967,0.0044,1.0000,9.8180,1.3349,2.1163
679,0.9967,0.0044,1.0000,9.8130,1.3575,2.1240
680,0.9968,0.0044,1.0000,9.8251,1.3124,2.1254
681,0.9968,0.0044,1.0000,9.8444,1.2414,2.1254
682,0.9969,0.0044,1.0000,9.8508,1.2167,2.1424
683,0.9968,0.0045,1.0000,9.8438,1.2412,2.1515
684,0.9968,0.0045,1.0000,9.8185,1.3350,2.1625
685,0.9968,0.0045,1.0000,9.8251,1.3123,2.1766
686,0.9969,0.0044,1.0000,9.8192,1.3352,2.1783
687,0.9967,0.0047,1.0000,9.8378,1.2655,2.1726
688,0.9965,0.0049,1.0000,9.8173,1.3350,2.1570
689,0.9966,0.0048,1.0000,9.8321,1.2895,2.1453
690,0.9966,0.0050,1.0000,9.8308,1.2892,2.1456
691,0.9962,0.0054,1.0000,9.8302,1.2893,2.1517
692,0.9961,0.0055,1.0000,9.8185,1.3355,2.1430
693,0.9963,0.0053,1.0000,9.8137,1.3580,2.1380
694,0.9962,0.0053,1.0000,9.8490,1.2171,2.1301
695,0.9964,0.0053,1.0000,9.8565,1.1920,2.1160
696,0.9962,0.0055,1.0000,9.8739,1.1127,2.1219
697,0.9963,0.0054,1.0000,9.8690,1.1399,2.1101
698,0.9963,0.0054,1.0000,9.8686,1.1399,2.1110
699,0.9964,0.0053,1.0000,9.8703,1.1401,2.1122
700,0.9965,0.0053,1.0000,9.8554,1.1919,2.1322
701,0.9965,0.0053,1.0000,9.8567,1.1921,2.1357
702,0.9965,0.0054,1.0000,9.8385,1.2662,2.1462
703,0.9963,0.0057,1.0000,9.8246,1.3128,2.1442
704,0.9962,0.0059,1.0000,9.8248,1.3130,2.1517
705,0.9961,0.0059,1.0000,9.8243,1.3129,2.1561
706,0.9962,0.0057,1.0000,9.8066,1.3802,2.1659
707,0.9964,0.0054,1.0000,9.8003,1.4016,2.1677
708,0.9962,0.0057,1.0000,9.8062,1.3799,2.1604
709,0.9962,0.0055,1.0000,9.8117,1.3579,2.1642
710,0.9962,0.0054,1.0000,9.8129,1.3581,2.1780
711,0.9961,0.0054,1.0000,9.8002,1.4015,2.1697
712,0.9962,0.0054,1.0000,9.8124,1.3579,2.1607
713,0.9962,0.0053,1.0000,9.8068,1.3798,2.1613
714,0.9961,0.0055,1.0000,9.8116,1.3576,2.1613
715,0.9960,0.0056,1.0000,9.7944,1.4227,2.1532
716,0.9961,0.0055,1.0000,9.7876,1.4436,2.1500
717,0.9959,0.0056,1.0000,9.8115,1.3578,2.1416
718,0.9959,0.0057,1.0000,9.8199,1.3358,2.1509
719,0.9958,0.0059,1.0000,9.7983,1.4013,2.1535
720,0.9958,0.0059,1.0000,9.8066,1.3802,2.1483
721,0.9956,0.0061,1.0000,9.8052,1.3801,2.1453
722,0.9960,0.0057,1.0000,9.8076,1.3804,2.1453
723,0.9959,0.0058,1.0000,9.8117,1.3580,2.1363
724,0.9960,0.0057,1.0000,9.7948,1.4229,2.1219
725,0.9959,0.0058,1.0000,9.8193,1.3357,2.1337
726,0.9958,0.0060,1.0000,9.8318,1.2899,2.1363
727,0.9961,0.0059,1.0000,9.8250,1.3131,2.1445
728,0.9960,0.0059,1.0000,9.8255,1.3130,2.1515
729,0.9960,0.0059,1.0000,9.8117,1.3579,2.1607
730,0.9961,0.0061,1.0000,9.8248,1.3129,2.1523
731,0.9962,0.0059,1.0000,9.8261,1.3131,2.1639
732,0.9960,0.0061,1.0000,9.8240,1.3129,2.1783
733,0.9961,0.0060,1.0000,9.8379,1.2663,2.1897
734,0.9961,0.0061,1.0000,9.8310,1.2900,2.1714
735,0.9962,0.0058,1.0000,9.8386,1.2665,2.1772
736,0.9961,0.0059,1.0000,9.8374,1.2662,2.1625
737,0.9962,0.0059,1.0000,9.8432,1.2421,2.1494
738,0.9962,0.0061,1.0000,9.8566,1.1924,2.1599
739,0.9962,0.0061,1.0000,9.8438,1.2422,2.1590
740,0.9961,0.0063,1.0000,9.8374,1.2664,2.1584
741,0.9961,0.0065,1.0000,9.8244,1.3133,2.1674
742,0.9963,0.0064,1.0000,9.8263,1.3136,2.1659
743,0.9964,0.0062,1.0000,9.8180,1.3360,2.1656
744,0.9966,0.0059,1.0000,9.8081,1.3804,2.1610
745,0.9966,0.0058,1.0000,9.7870,1.4436,2.1404
746,0.9964,0.0059,1.0000,9.7996,1.4014,2.1506
747,0.9964,0.0058,1.0000,9.7688,1.5045,2.1561
748,0.9963,0.0059,1.0000,9.7690,1.5045,2.1512
749,0.9963,0.0061,1.0000,9.7687,1.5045,2.1581
750,0.9965,0.0059,1.0000,9.7638,1.5244,2.1421
751,0.9965,0.0061,1.0000,9.7741,1.4844,2.1363
752,0.9968,0.0058,1.0000,9.7820,1.4645,2.1407
753,0.9965,0.0060,1.0000,9.7736,1.4843,2.1328
754,0.9966,0.0060,1.0000,9.7755,1.4847,2.1272
755,0.9966,0.0059,1.0000,9.7629,1.5244,2.1231
756,0.9966,0.0059,1.0000,9.7569,1.5436,2.1086
757,0.9966,0.0057,1.0000,9.7806,1.4643,2.1119
758,0.9967,0.0058,1.0000,9.7820,1.4644,2.1284
759,0.9967,0.0057,1.0000,9.7872,1.4436,2.1375
760,0.9966,0.0057,1.0000,9.7810,1.4641,2.1307
761,0.9965,0.0058,1.0000,9.7748,1.4845,2.1380
762,0.9964,0.0060,1.0000,9.7560,1.5434,2.1448
763,0.9964,0.0060,1.0000,9.7504,1.5627,2.1558
764,0.9966,0.0058,1.0000,9.7380,1.6003,2.1625
765,0.9967,0.0055,1.0000,9.7201,1.6549,2.1610
766,0.9969,0.0055,1.0000,9.7375,1.6001,2.1703
767,0.9971,0.0053,1.0000,9.7566,1.5434,2.1846
768,0.9971,0.0053,1.0000,9.7501,1.5624,2.1737
769,0.9971,0.0054,1.0000,9.7682,1.5041,2.1662
770,0.9971,0.0055,1.0000,9.7809,1.4640,2.1639
771,0.9970,0.0056,1.0000,9.7815,1.4642,2.1398
772,0.9970,0.0058,1.0000,9.7749,1.4844,2.1360
773,0.9969,0.0059,1.0000,9.7692,1.5045,2.1416
774,0.9968,0.0061,1.0000,9.7689,1.5045,2.1448
775,0.9967,0.0063,1.0000,9.7624,1.5243,2.1436
776,0.9966,0.0062,1.0000,9.7623,1.5244,2.1424
777,0.9967,0.0060,1.0000,9.7694,1.5047,2.1310
778,0.9966,0.0063,1.0000,9.7742,1.4845,2.1389
779,0.9967,0.0062,1.0000,9.7453,1.5818,2.1494
780,0.9966,0.0059,1.0000,9.7607,1.5240,2.1386
781,0.9968,0.0057,1.0000,9.7764,1.4847,2.1418
782,0.9966,0.0060,1.0000,9.7790,1.4640,2.1287
783,0.9969,0.0056,1.0000,9.7886,1.4440,2.1325
784,0.9971,0.0051,1.0000,9.8068,1.3800,2.1418
785,0.9974,0.0048,1.0000,9.8066,1.3797,2.1668
786,0.9975,0.0046,1.0000,9.7822,1.4639,2.1555
787,0.9974,0.0048,1.0000,9.7802,1.4635,2.1398
788,0.9976,0.0045,1.0000,9.7887,1.4433,2.1407
789,0.9976,0.0045,1.0000,9.7741,1.4838,2.1251
790,0.9975,0.0045,1.0000,9.7936,1.4221,2.1322
791,0.9974,0.0047,1.0000,9.7930,1.4221,2.1257
792,0.9975,0.0045,1.0000,9.7885,1.4433,2.1260
793,0.9974,0.0047,1.0000,9.7675,1.5037,2.1360
794,0.9976,0.0045,1.0000,9.7699,1.5041,2.1380
795,0.9973,0.0049,1.0000,9.7674,1.5038,2.1416
796,0.9974,0.0047,1.0000,9.7695,1.5041,2.1465
797,0.9973,0.0046,1.0000,9.7859,1.4430,2.1503
798,0.9974,0.0044,1.0000,9.7952,1.4225,2.1416
799,0.9975,0.0046,1.0000,9.7872,1.4431,2.1334
800,0.9976,0.0043,1.0000,9.7874,1.4432,2.1148
801,0.9976,0.0044,1.0000,9.8062,1.3793,2.0991
802,0.9975,0.0043,1.0000,9.8064,1.3794,2.0896
803,0.9975,0.0041,1.0000,9.8056,1.3792,2.0878
804,0.9975,0.0044,1.0000,9.8063,1.3792,2.0949
805,0.9974,0.0046,1.0000,9.8120,1.3573,2.1006
806,0.9974,0.0049,1.0000,9.8063,1.3795,2.1104
807,0.9973,0.0050,1.0000,9.8119,1.3576,2.1068
808,0.9973,0.0050,1.0000,9.8006,1.4013,2.1062
809,0.9975,0.0047,1.0000,9.8001,1.4012,2.1086
810,0.9976,0.0042,1.0000,9.7937,1.4223,2.1042
811,0.9978,0.0040,1.0000,9.8014,1.4010,2.1042
812,0.9977,0.0041,1.0000,9.7993,1.4008,2.1119
813,0.9978,0.0039,1.0000,9.7819,1.4636,2.1089
814,0.9979,0.0039,1.0000,9.7759,1.4839,2.1193
815,0.9978,0.0041,1.0000,9.7561,1.5427,2.1222
816,0.9979,0.0038,1.0000,9.7507,1.5620,2.1098
817,0.9980,0.0034,1.0000,9.7817,1.4634,2.1334
818,0.9979,0.0036,1.0000,9.7754,1.4836,2.1383
819,0.9980,0.0035,1.0000,9.7685,1.5035,2.1471
820,0.9980,0.0037,1.0000,9.7561,1.5426,2.1515
821,0.9981,0.0034,1.0000,9.7569,1.5427,2.1711
822,0.9980,0.0033,1.0000,9.7630,1.5233,2.1743
823,0.9980,0.0033,1.0000,9.7627,1.5232,2.1642
824,0.9980,0.0034,1.0000,9.7689,1.5035,2.1726
825,0.9981,0.0033,1.0000,9.7505,1.5618,2.1760
826,0.9981,0.0033,1.0000,9.7749,1.4835,2.1806
827,0.9981,0.0033,1.0000,9.7691,1.5035,2.1754
828,0.9980,0.0033,1.0000,9.7687,1.5034,2.1809
829,0.9980,0.0034,1.0000,9.7683,1.5034,2.1743
830,0.9980,0.0033,1.0000,9.7752,1.4836,2.1711
831,0.9980,0.0033,1.0000,9.7935,1.4217,2.1630
832,0.9978,0.0034,1.0000,9.8123,1.3570,2.1697
833,0.9980,0.0032,1.0000,9.8133,1.3571,2.1708
834,0.9980,0.0033,1.0000,9.8065,1.3789,2.1780
835,0.9980,0.0033,1.0000,9.8067,1.3790,2.1723
836,0.9980,0.0035,1.0000,9.7871,1.4426,2.1740
837,0.9979,0.0036,1.0000,9.7810,1.4633,2.1619
838,0.9979,0.0036,1.0000,9.7816,1.4634,2.1567
839,0.9979,0.0035,1.0000,9.7806,1.4632,2.1622
840,0.9980,0.0035,1.0000,9.7568,1.5427,2.1645
841,0.9979,0.0035,1.0000,9.7565,1.5427,2.1639
842,0.9979,0.0035,1.0000,9.7688,1.5036,2.1483
843,0.9980,0.0035,1.0000,9.7878,1.4428,2.1558
844,0.9979,0.0035,1.0000,9.7875,1.4427,2.1613
845,0.9979,0.0035,1.0000,9.7807,1.4633,2.1728
846,0.9979,0.0036,1.0000,9.7507,1.5619,2.1783
847,0.9978,0.0038,1.0000,9.7558,1.5427,2.1717
848,0.9979,0.0037,1.0000,9.7565,1.5428,2.1711
849,0.9978,0.0037,1.0000,9.7748,1.4837,2.1728
850,0.9977,0.0038,1.0000,9.8004,1.4007,2.1625
851,0.9977,0.0038,1.0000,9.8061,1.3791,2.1691
852,0.9978,0.0039,1.0000,9.8009,1.4009,2.1549
853,0.9978,0.0039,1.0000,9.8555,1.1911,2.1654
854,0.9978,0.0039,1.0000,9.8373,1.2652,2.1616
855,0.9978,0.0037,1.0000,9.8361,1.2650,2.1602
856,0.9979,0.0036,1.0000,9.8444,1.2411,2.1497
857,0.9979,0.0037,1.0000,9.8315,1.2888,2.1610
858,0.9979,0.0035,1.0000,9.8375,1.2651,2.1549
859,0.9980,0.0035,1.0000,9.8434,1.2409,2.1654
860,0.9981,0.0033,1.0000,9.8448,1.2410,2.1645
861,0.9980,0.0034,1.0000,9.8492,1.2161,2.1737
862,0.9981,0.0032,1.0000,9.8564,1.1910,2.1743
863,0.9982,0.0031,1.0000,9.8504,1.2161,2.1780
864,0.9982,0.0030,1.0000,9.8379,1.2649,2.1760
865,0.9982,0.0030,1.0000,9.8313,1.2885,2.1769
866,0.9981,0.0031,1.0000,9.8370,1.2648,2.1812
867,0.9980,0.0032,1.0000,9.8185,1.3345,2.1792
868,0.9980,0.0032,1.0000,9.8310,1.2886,2.1809
869,0.9980,0.0031,1.0000,9.8260,1.3119,2.1849
870,0.9979,0.0032,1.0000,9.8306,1.2885,2.1869
