gen,mean p,sigma p,max p
4382,0.2097,0.1179,0.3364
4383,0.2097,0.1179,0.3364
4384,0.2097,0.1179,0.3364
4385,0.2097,0.1179,0.3364
4386,0.2097,0.1179,0.3364
4387,0.2097,0.1179,0.3364
4388,0.2097,0.1179,0.3364
4389,0.2097,0.1179,0.3364
4390,0.2097,0.1179,0.3364
4391,0.2097,0.1179,0.3364
4392,0.2097,0.1179,0.3364
4393,0.2097,0.1179,0.3364
4394,0.2097,0.1179,0.3364
4395,0.2097,0.1179,0.3364
4396,0.2097,0.1179,0.3364
4397,0.2097,0.1179,0.3364
4398,0.2097,0.1179,0.3364
4399,0.2097,0.1179,0.3364
4400,0.2097,0.1179,0.3364
4401,0.2097,0.1179,0.3364
4402,0.2097,0.1179,0.3364
4403,0.2097,0.1179,0.3364
4404,0.2097,0.1179,0.3364
4405,0.2097,0.1179,0.3364
4406,0.2097,0.1179,0.3364
4407,0.2097,0.1179,0.3364
4408,0.2097,0.1179,0.3364
4409,0.2097,0.1179,0.3364
4410,0.2097,0.1179,0.3364
4411,0.2097,0.1179,0.3364
4412,0.2097,0.1179,0.3364
4413,0.2097,0.1179,0.3364
4414,0.2097,0.1179,0.3364
4415,0.2097,0.1179,0.3364
4416,0.2097,0.1179,0.3364
4417,0.2097,0.1179,0.3364
4418,0.2097,0.1179,0.3364
4419,0.2097,0.1179,0.3364
4420,0.2097,0.1179,0.3364
4421,0.2097,0.1179,0.3364
4422,0.2097,0.1179,0.3364
4423,0.2097,0.1179,0.3364
4424,0.2097,0.1179,0.3364
4425,0.2097,0.1179,0.3364
4426,0.2097,0.1179,0.3364
4427,0.2097,0.1179,0.3364
4428,0.2097,0.1179,0.3364
4429,0.2097,0.1179,0.3364
4430,0.2097,0.1179,0.3364
4431,0.2097,0.1179,0.3364
4432,0.2097,0.1179,0.3364
4433,0.2097,0.1179,0.3364
4434,0.2097,0.1179,0.3364
4435,0.2097,0.1179,0.3364
4436,0.2097,0.1179,0.3364
4437,0.2097,0.1179,0.3364
4438,0.2097,0.1179,0.3364
4439,0.2097,0.1179,0.3364
4440,0.2097,0.1179,0.3364
4441,0.2097,0.1179,0.3364
4442,0.2097,0.1179,0.3364
4443,0.2097,0.1179,0.3364
4444,0.2097,0.1179,0.3364
4445,0.2097,0.1179,0.3364
4446,0.2097,0.1179,0.3364
4447,0.2097,0.1179,0.3364
4448,0.2097,0.1179,0.3364
4449,0.2097,0.1179,0.3364
4450,0.2097,0.1179,0.3364
4451,0.2097,0.1179,0.3364
4452,0.2097,0.1179,0.3364
4453,0.2097,0.1179,0.3364
4454,0.2097,0.1179,0.3364
4455,0.2097,0.1179,0.3364
4456,0.2097,0.1179,0.3364
4457,0.2097,0.1179,0.3364
4458,0.2097,0.1179,0.3364
4459,0.2097,0.1179,0.3364
4460,0.2097,0.1179,0.3364
4461,0.2097,0.1179,0.3364
4462,0.2097,0.1179,0.3364
4463,0.2097,0.1179,0.3364
4464,0.2097,0.1179,0.3364
4465,0.2097,0.1179,0.3364
4466,0.2097,0.1179,0.3364
4467,0.2097,0.1179,0.3364
4468,0.2097,0.1179,0.3364
4469,0.2097,0.1179,0.3364
4470,0.2097,0.1179,0.3364
4471,0.2097,0.1179,0.3364
4472,0.2097,0.1179,0.3364
4473,0.2097,0.1179,0.3364
4474,0.2097,0.1179,0.3364
4475,0.2097,0.1179,0.3364
4476,0.2097,0.1179,0.3364
4477,0.2097,0.1179,0.3364
4478,0.2097,0.1179,0.3364
4479,0.2097,0.1179,0.3364
4480,0.2097,0.1179,0.3364
4481,0.2097,0.1179,0.3364
4482,0.2097,0.1179,0.3364
4483,0.2097,0.1179,0.3364
4484,0.2097,0.1179,0.3364
4485,0.2097,0.1179,0.3364
4486,0.2097,0.1179,0.3364
4487,0.2097,0.1179,0.3364
4488,0.2097,0.1179,0.3364
4489,0.2097,0.1179,0.3364
4490,0.2097,0.1179,0.3364
4491,0.2097,0.1179,0.3364
4492,0.2097,0.1179,0.3364
4493,0.2097,0.1179,0.3364
4494,0.2097,0.1179,0.3364
4495,0.2097,0.1179,0.3364
4496,0.2097,0.1179,0.3364
4497,0.2097,0.1179,0.3364
4498,0.2097,0.1179,0.3364
4499,0.2097,0.1179,0.3364
4500,0.2097,0.1179,0.3364
4501,0.2097,0.1179,0.3364
4502,0.2097,0.1179,0.3364
4503,0.2097,0.1179,0.3364
4504,0.2097,0.1179,0.3364
4505,0.2097,0.1179,0.3364
4506,0.2097,0.1179,0.3364
4507,0.2097,0.1179,0.3364
4508,0.2097,0.1179,0.3364
4509,0.2097,0.1179,0.3364
4510,0.2097,0.1179,0.3364
4511,0.2097,0.1179,0.3364
4512,0.2097,0.1179,0.3364
4513,0.2097,0.1179,0.3364
4514,0.2097,0.1179,0.3364
4515,0.2097,0.1179,0.3364
4516,0.2097,0.1179,0.3364
4517,0.2097,0.1179,0.3364
4518,0.2097,0.1179,0.3364
4519,0.2097,0.1179,0.3364
4520,0.2097,0.1179,0.3364
4521,0.2097,0.1179,0.3364
4522,0.2097,0.1179,0.3364
4523,0.2097,0.1179,0.3364
4524,0.2097,0.1179,0.3364
4525,0.2097,0.1179,0.3364
4526,0.2097,0.1179,0.3364
4527,0.2097,0.1179,0.3364
4528,0.2097,0.1179,0.3364
4529,0.2097,0.1179,0.3364
4530,0.2097,0.1179,0.3364
4531,0.2097,0.1179,0.3364
4532,0.2097,0.1179,0.3364
4533,0.2097,0.1179,0.3364
4534,0.2097,0.1179,0.3364
4535,0.2097,0.1179,0.3364
4536,0.2097,0.1179,0.3364
4537,0.2097,0.1179,0.3364
4538,0.2097,0.1179,0.3364
4539,0.2097,0.1179,0.3364
4540,0.2097,0.1179,0.3364
4541,0.2097,0.1179,0.3364
4542,0.2097,0.1179,0.3364
4543,0.2097,0.1179,0.3364
4544,0.2097,0.1179,0.3364
4545,0.2097,0.1179,0.3364
4546,0.2097,0.1179,0.3364
4547,0.2097,0.1179,0.3364
4548,0.2097,0.1179,0.3364
4549,0.2097,0.1179,0.3364
4550,0.2097,0.1179,0.3364
4551,0.2097,0.1179,0.3364
4552,0.2097,0.1179,0.3364
4553,0.2097,0.1179,0.3364
4554,0.2097,0.1179,0.3364
4555,0.2097,0.1179,0.3364
4556,0.2097,0.1179,0.3364
4557,0.2097,0.1179,0.3364
4558,0.2097,0.1179,0.3364
4559,0.2097,0.1179,0.3364
4560,0.2097,0.1179,0.3364
4561,0.2097,0.1179,0.3364
4562,0.2097,0.1179,0.3364
4563,0.2097,0.1179,0.3364
4564,0.2097,0.1179,0.3364
4565,0.2097,0.1179,0.3364
4566,0.2097,0.1179,0.3364
4567,0.2097,0.1179,0.3364
4568,0.2097,0.1179,0.3364
4569,0.2097,0.1179,0.3364
4570,0.2097,0.1179,0.3364
4571,0.2097,0.1179,0.3364
4572,0.2097,0.1179,0.3364
4573,0.2097,0.1179,0.3364
4574,0.2097,0.1179,0.3364
4575,0.2097,0.1179,0.3364
4576,0.2097,0.1179,0.3364
4577,0.2097,0.1179,0.3364
4578,0.2097,0.1179,0.3364
4579,0.2097,0.1179,0.3364
4580,0.2097,0.1179,0.3364
4581,0.2097,0.1179,0.3364
4582,0.2097,0.1179,0.3364
4583,0.2097,0.1179,0.3364
4584,0.2097,0.1179,0.3364
4585,0.2097,0.1179,0.3364
4586,0.2097,0.1179,0.3364
4587,0.2097,0.1179,0.3364
4588,0.2097,0.1179,0.3364
4589,0.2097,0.1179,0.3364
4590,0.2097,0.1179,0.3364
4591,0.2097,0.1179,0.3364
4592,0.2097,0.1179,0.3364
4593,0.2097,0.1179,0.3364
4594,0.2097,0.1179,0.3364
4595,0.2097,0.1179,0.3364
4596,0.2097,0.1179,0.3364
4597,0.2097,0.1179,0.3364
4598,0.2097,0.1179,0.3364
4599,0.2097,0.1179,0.3364
4600,0.2097,0.1179,0.3364
4601,0.2097,0.1179,0.3364
4602,0.2097,0.1179,0.3364
4603,0.2097,0.1179,0.3364
4604,0.2097,0.1179,0.3364
4605,0.2097,0.1179,0.3364
4606,0.2097,0.1179,0.3364
4607,0.2097,0.1179,0.3364
4608,0.2097,0.1179,0.3364
4609,0.2097,0.1179,0.3364
4610,0.2097,0.1179,0.3364
4611,0.2097,0.1179,0.3364
4612,0.2097,0.1179,0.3364
4613,0.2097,0.1179,0.3364
4614,0.2097,0.1179,0.3364
4615,0.2097,0.1179,0.3364
4616,0.2097,0.1179,0.3364
4617,0.2097,0.1179,0.3364
4618,0.2097,0.1179,0.3364
4619,0.2097,0.1179,0.3364
4620,0.2097,0.1179,0.3364
4621,0.2097,0.1179,0.3364
4622,0.2097,0.1179,0.3364
4623,0.2097,0.1179,0.3364
4624,0.2097,0.1179,0.3364
4625,0.2097,0.1179,0.3364
4626,0.2097,0.1179,0.3364
4627,0.2097,0.1179,0.3364
4628,0.2097,0.1179,0.3364
4629,0.2097,0.1179,0.3364
4630,0.2097,0.1179,0.3364
4631,0.2097,0.1179,0.3364
4632,0.2097,0.1179,0.3364
4633,0.2097,0.1179,0.3364
4634,0.2097,0.1179,0.3364
4635,0.2097,0.1179,0.3364
4636,0.2097,0.1179,0.3364
4637,0.2097,0.1179,0.3364
4638,0.2097,0.1179,0.3364
4639,0.2097,0.1179,0.3364
4640,0.2097,0.1179,0.3364
4641,0.2097,0.1179,0.3364
4642,0.2097,0.1179,0.3364
4643,0.2097,0.1179,0.3364
4644,0.2097,0.1179,0.3364
4645,0.2097,0.1179,0.3364
4646,0.2097,0.1179,0.3364
4647,0.2097,0.1179,0.3364
4648,0.2097,0.1179,0.3364
4649,0.2097,0.1179,0.3364
4650,0.2097,0.1179,0.3364
4651,0.2097,0.1179,0.3364
4652,0.2097,0.1179,0.3364
4653,0.2097,0.1179,0.3364
4654,0.2097,0.1179,0.3364
4655,0.2097,0.1179,0.3364
4656,0.2097,0.1179,0.3364
4657,0.2097,0.1179,0.3364
4658,0.2097,0.1179,0.3364
4659,0.2097,0.1179,0.3364
4660,0.2097,0.1179,0.3364
4661,0.2097,0.1179,0.3364
4662,0.2097,0.1179,0.3364
4663,0.2097,0.1179,0.3364
4664,0.2097,0.1179,0.3364
4665,0.2097,0.1179,0.3364
4666,0.2097,0.1179,0.3364
4667,0.2097,0.1179,0.3364
4668,0.2097,0.1179,0.3364
4669,0.2097,0.1179,0.3364
4670,0.2097,0.1179,0.3364
4671,0.2097,0.1179,0.3364
4672,0.2097,0.1179,0.3364
4673,0.2097,0.1179,0.3364
4674,0.2097,0.1179,0.3364
4675,0.2097,0.1179,0.3364
4676,0.2097,0.1179,0.3364
4677,0.2097,0.1179,0.3364
4678,0.2097,0.1179,0.3364
4679,0.2097,0.1179,0.3364
4680,0.2097,0.1179,0.3364
4681,0.2097,0.1179,0.3364
4682,0.2097,0.1179,0.3364
4683,0.2097,0.1179,0.3364
4684,0.2097,0.1179,0.3364
4685,0.2097,0.1179,0.3364
4686,0.2097,0.1179,0.3364
4687,0.2097,0.1179,0.3364
4688,0.2097,0.1179,0.3364
4689,0.2097,0.1179,0.3364
4690,0.2097,0.1179,0.3364
4691,0.2097,0.1179,0.3364
4692,0.2097,0.1179,0.3364
4693,0.2097,0.1179,0.3364
4694,0.2097,0.1179,0.3364
4695,0.2097,0.1179,0.3364
4696,0.2097,0.1179,0.3364
4697,0.2097,0.1179,0.3364
4698,0.2097,0.1179,0.3364
4699,0.2097,0.1179,0.3364
4700,0.2097,0.1179,0.3364
4701,0.2097,0.1179,0.3364
4702,0.2097,0.1179,0.3364
4703,0.2097,0.1179,0.3364
4704,0.2097,0.1179,0.3364
4705,0.2097,0.1179,0.3364
4706,0.2097,0.1179,0.3364
4707,0.2097,0.1179,0.3364
4708,0.2097,0.1179,0.3364
4709,0.2097,0.1179,0.3364
4710,0.2097,0.1179,0.3364
4711,0.2097,0.1179,0.3364
4712,0.2097,0.1179,0.3364
4713,0.2097,0.1179,0.3364
4714,0.2097,0.1179,0.3364
4715,0.2097,0.1179,0.3364
4716,0.2097,0.1179,0.3364
4717,0.2097,0.1179,0.3364
4718,0.2097,0.1179,0.3364
4719,0.2097,0.1179,0.3364
4720,0.2097,0.1179,0.3364
4721,0.2097,0.1179,0.3364
4722,0.2097,0.1179,0.3364
4723,0.2097,0.1179,0.3364
4724,0.2097,0.1179,0.3364
4725,0.2097,0.1179,0.3364
4726,0.2097,0.1179,0.3364
4727,0.2097,0.1179,0.3364
4728,0.2097,0.1179,0.3364
4729,0.2097,0.1179,0.3364
4730,0.2097,0.1179,0.3364
4731,0.2097,0.1179,0.3364
4732,0.2097,0.1179,0.3364
4733,0.2097,0.1179,0.3364
4734,0.2097,0.1179,0.3364
4735,0.2097,0.1179,0.3364
4736,0.2097,0.1179,0.3364
4737,0.2097,0.1179,0.3364
4738,0.2097,0.1179,0.3364
4739,0.2097,0.1179,0.3364
4740,0.2097,0.1179,0.3364
4741,0.2097,0.1179,0.3364
4742,0.2097,0.1179,0.3364
4743,0.2097,0.1179,0.3364
4744,0.2097,0.1179,0.3364
4745,0.2097,0.1179,0.3364
4746,0.2097,0.1179,0.3364
4747,0.2097,0.1179,0.3364
4748,0.2097,0.1179,0.3364
4749,0.2097,0.1179,0.3364
4750,0.2097,0.1179,0.3364
4751,0.2097,0.1179,0.3364
4752,0.2097,0.1179,0.3364
4753,0.2097,0.1179,0.3364
4754,0.2097,0.1179,0.3364
4755,0.2097,0.1179,0.3364
4756,0.2097,0.1179,0.3364
4757,0.2097,0.1179,0.3364
4758,0.2097,0.1179,0.3364
4759,0.2097,0.1179,0.3364
4760,0.2097,0.1179,0.3364
4761,0.2097,0.1179,0.3364
4762,0.2097,0.1179,0.3364
4763,0.2097,0.1179,0.3364
4764,0.2097,0.1179,0.3364
4765,0.2097,0.1179,0.3364
4766,0.2097,0.1179,0.3364
4767,0.2097,0.1179,0.3364
4768,0.2097,0.1179,0.3364
4769,0.2097,0.1179,0.3364
4770,0.2097,0.1179,0.3364
4771,0.2097,0.1179,0.3364
4772,0.2097,0.1179,0.3364
4773,0.2097,0.1179,0.3364
4774,0.2097,0.1179,0.3364
4775,0.2097,0.1179,0.3364
4776,0.2097,0.1179,0.3364
4777,0.2097,0.1179,0.3364
4778,0.2097,0.1179,0.3364
4779,0.2097,0.1179,0.3364
4780,0.2097,0.1179,0.3364
4781,0.2097,0.1179,0.3364
4782,0.2097,0.1179,0.3364
4783,0.2097,0.1179,0.3364
4784,0.2097,0.1179,0.3364
4785,0.2097,0.1179,0.3364
4786,0.2097,0.1179,0.3364
4787,0.2097,0.1179,0.3364
4788,0.2097,0.1179,0.3364
4789,0.2097,0.1179,0.3364
4790,0.2097,0.1179,0.3364
4791,0.2097,0.1179,0.3364
4792,0.2097,0.1179,0.3364
4793,0.2097,0.1179,0.3364
4794,0.2097,0.1179,0.3364
4795,0.2097,0.1179,0.3364
4796,0.2097,0.1179,0.3364
4797,0.2097,0.1179,0.3364
4798,0.2097,0.1179,0.3364
4799,0.2097,0.1179,0.3364
4800,0.2097,0.1179,0.3364
4801,0.2097,0.1179,0.3364
4802,0.2097,0.1179,0.3364
4803,0.2097,0.1179,0.3364
4804,0.2097,0.1179,0.3364
4805,0.2097,0.1179,0.3364
4806,0.2097,0.1179,0.3364
4807,0.2097,0.1179,0.3364
4808,0.2097,0.1179,0.3364
4809,0.2097,0.1179,0.3364
4810,0.2097,0.1179,0.3364
4811,0.2097,0.1179,0.3364
4812,0.2097,0.1179,0.3364
4813,0.2097,0.1179,0.3364
4814,0.2097,0.1179,0.3364
4815,0.2097,0.1179,0.3364
4816,0.2097,0.1179,0.3364
4817,0.2097,0.1179,0.3364
4818,0.2097,0.1179,0.3364
4819,0.2097,0.1179,0.3364
4820,0.2097,0.1179,0.3364
4821,0.2097,0.1179,0.3364
4822,0.2097,0.1179,0.3364
4823,0.2097,0.1179,0.3364
4824,0.2097,0.1179,0.3364
4825,0.2097,0.1179,0.3364
4826,0.2097,0.1179,0.3364
4827,0.2097,0.1179,0.3364
4828,0.2097,0.1179,0.3364
4829,0.2097,0.1179,0.3364
4830,0.2097,0.1179,0.3364
4831,0.2097,0.1179,0.3364
4832,0.2097,0.1179,0.3364
4833,0.2097,0.1179,0.3364
4834,0.2097,0.1179,0.3364
4835,0.2097,0.1179,0.3364
4836,0.2097,0.1179,0.3364
4837,0.2097,0.1179,0.3364
4838,0.2097,0.1179,0.3364
4839,0.2097,0.1179,0.3364
4840,0.2097,0.1179,0.3364
4841,0.2097,0.1179,0.3364
4842,0.2097,0.1179,0.3364
4843,0.2097,0.1179,0.3364
4844,0.2097,0.1179,0.3364
4845,0.2097,0.1179,0.3364
4846,0.2097,0.1179,0.3364
4847,0.2097,0.1179,0.3364
4848,0.2097,0.1179,0.3364
4849,0.2097,0.1179,0.3364
4850,0.2097,0.1179,0.3364
4851,0.2097,0.1179,0.3364
4852,0.2097,0.1179,0.3364
4853,0.2097,0.1179,0.3364
4854,0.2097,0.1179,0.3364
4855,0.2097,0.1179,0.3364
4856,0.2097,0.1179,0.3364
4857,0.2097,0.1179,0.3364
4858,0.2097,0.1179,0.3364
4859,0.2097,0.1179,0.3364
4860,0.2097,0.1179,0.3364
4861,0.2097,0.1179,0.3364
4862,0.2097,0.1179,0.3364
4863,0.2097,0.1179,0.3364
4864,0.2097,0.1179,0.3364
4865,0.2097,0.1179,0.3364
4866,0.2097,0.1179,0.3364
4867,0.2097,0.1179,0.3364
4868,0.2097,0.1179,0.3364
4869,0.2097,0.1179,0.3364
4870,0.2097,0.1179,0.3364
4871,0.2097,0.1179,0.3364
4872,0.2097,0.1179,0.3364
4873,0.2097,0.1179,0.3364
4874,0.2097,0.1179,0.3364
4875,0.2097,0.1179,0.3364
4876,0.2097,0.1179,0.3364
4877,0.2097,0.1179,0.3364
4878,0.2097,0.1179,0.3364
4879,0.2097,0.1179,0.3364
4880,0.2097,0.1179,0.3364
4881,0.2097,0.1179,0.3364
4882,0.2097,0.1179,0.3364
4883,0.2097,0.1179,0.3364
4884,0.2097,0.1179,0.3364
4885,0.2097,0.1179,0.3364
4886,0.2097,0.1179,0.3364
4887,0.2097,0.1179,0.3364
4888,0.2097,0.1179,0.3364
4889,0.2097,0.1179,0.3364
4890,0.2097,0.1179,0.3364
4891,0.2097,0.1179,0.3364
4892,0.2097,0.1179,0.3364
4893,0.2097,0.1179,0.3364
4894,0.2097,0.1179,0.3364
4895,0.2097,0.1179,0.3364
4896,0.2097,0.1179,0.3364
4897,0.2097,0.1179,0.3364
4898,0.2097,0.1179,0.3364
4899,0.2097,0.1179,0.3364
4900,0.2097,0.1179,0.3364
4901,0.2097,0.1179,0.3364
4902,0.2097,0.1179,0.3364
4903,0.2097,0.1179,0.3364
4904,0.2097,0.1179,0.3364
4905,0.2097,0.1179,0.3364
4906,0.2097,0.1179,0.3364
4907,0.2097,0.1179,0.3364
4908,0.2097,0.1179,0.3364
4909,0.2097,0.1179,0.3364
4910,0.2097,0.1179,0.3364
4911,0.2097,0.1179,0.3364
4912,0.2097,0.1179,0.3364
4913,0.2097,0.1179,0.3364
4914,0.2097,0.1179,0.3364
4915,0.2097,0.1179,0.3364
4916,0.2097,0.1179,0.3364
4917,0.2097,0.1179,0.3364
4918,0.2097,0.1179,0.3364
4919,0.2097,0.1179,0.3364
4920,0.2097,0.1179,0.3364
4921,0.2097,0.1179,0.3364
4922,0.2097,0.1179,0.3364
4923,0.2097,0.1179,0.3364
4924,0.2097,0.1179,0.3364
4925,0.2097,0.1179,0.3364
4926,0.2097,0.1179,0.3364
4927,0.2097,0.1179,0.3364
4928,0.2097,0.1179,0.3364
4929,0.2097,0.1179,0.3364
4930,0.2097,0.1179,0.3364
4931,0.2097,0.1179,0.3364
4932,0.2097,0.1179,0.3364
4933,0.2097,0.1179,0.3364
4934,0.2097,0.1179,0.3364
4935,0.2097,0.1179,0.3364
4936,0.2097,0.1179,0.3364
4937,0.2097,0.1179,0.3364
4938,0.2097,0.1179,0.3364
4939,0.2097,0.1179,0.3364
4940,0.2097,0.1179,0.3364
4941,0.2097,0.1179,0.3364
4942,0.2097,0.1179,0.3364
4943,0.2097,0.1179,0.3364
4944,0.2097,0.1179,0.3364
4945,0.2097,0.1179,0.3364
4946,0.2097,0.1179,0.3364
4947,0.2097,0.1179,0.3364
4948,0.2097,0.1179,0.3364
4949,0.2097,0.1179,0.3364
4950,0.2097,0.1179,0.3364
4951,0.2097,0.1179,0.3364
4952,0.2097,0.1179,0.3364
4953,0.2097,0.1179,0.3364
4954,0.2097,0.1179,0.3364
4955,0.2097,0.1179,0.3364
4956,0.2097,0.1179,0.3364
4957,0.2097,0.1179,0.3364
4958,0.2097,0.1179,0.3364
4959,0.2097,0.1179,0.3364
4960,0.2097,0.1179,0.3364
4961,0.2097,0.1179,0.3364
4962,0.2097,0.1179,0.3364
4963,0.2097,0.1179,0.3364
4964,0.2097,0.1179,0.3364
4965,0.2097,0.1179,0.3364
4966,0.2097,0.1179,0.3364
4967,0.2097,0.1179,0.3364
4968,0.2097,0.1179,0.3364
4969,0.2097,0.1179,0.3364
4970,0.2097,0.1179,0.3364
4971,0.2097,0.1179,0.3364
4972,0.2097,0.1179,0.3364
4973,0.2097,0.1179,0.3364
4974,0.2097,0.1179,0.3364
4975,0.2097,0.1179,0.3364
4976,0.2097,0.1179,0.3364
4977,0.2097,0.1179,0.3364
4978,0.2097,0.1179,0.3364
4979,0.2097,0.1179,0.3364
4980,0.2097,0.1179,0.3364
4981,0.2097,0.1179,0.3364
4982,0.2097,0.1179,0.3364
4983,0.2097,0.1179,0.3364
4984,0.2097,0.1179,0.3364
4985,0.2097,0.1179,0.3364
4986,0.2097,0.1179,0.3364
4987,0.2097,0.1179,0.3364
4988,0.2097,0.1179,0.3364
4989,0.2097,0.1179,0.3364
4990,0.2097,0.1179,0.3364
4991,0.2097,0.1179,0.3364
4992,0.2097,0.1179,0.3364
4993,0.2097,0.1179,0.3364
4994,0.2097,0.1179,0.3364
4995,0.2097,0.1179,0.3364
4996,0.2097,0.1179,0.3364
4997,0.2097,0.1179,0.3364
4998,0.2097,0.1179,0.3364
4999,0.2097,0.1179,0.3364
5000,0.2097,0.1179,0.3364
5001,0.2097,0.1179,0.3364
5002,0.2097,0.1179,0.3364
5003,0.2097,0.1179,0.3364
5004,0.2097,0.1179,0.3364
5005,0.2097,0.1179,0.3364
5006,0.2097,0.1179,0.3364
5007,0.2097,0.1179,0.3364
5008,0.2097,0.1179,0.3364
5009,0.2097,0.1179,0.3364
5010,0.2097,0.1179,0.3364
5011,0.2097,0.1179,0.3364
5012,0.2097,0.1179,0.3364
5013,0.2097,0.1179,0.3364
5014,0.2097,0.1179,0.3364
5015,0.2097,0.1179,0.3364
5016,0.2097,0.1179,0.3364
5017,0.2097,0.1179,0.3364
5018,0.2097,0.1179,0.3364
5019,0.2097,0.1179,0.3364
5020,0.2097,0.1179,0.3364
5021,0.2097,0.1179,0.3364
5022,0.2097,0.1179,0.3364
5023,0.2097,0.1179,0.3364
5024,0.2097,0.1179,0.3364
5025,0.2097,0.1179,0.3364
5026,0.2097,0.1179,0.3364
5027,0.2097,0.1179,0.3364
5028,0.2097,0.1179,0.3364
5029,0.2097,0.1179,0.3364
5030,0.2097,0.1179,0.3364
5031,0.2097,0.1179,0.3364
5032,0.2097,0.1179,0.3364
5033,0.2097,0.1179,0.3364
5034,0.2097,0.1179,0.3364
5035,0.2097,0.1179,0.3364
5036,0.2097,0.1179,0.3364
5037,0.2097,0.1179,0.3364
5038,0.2097,0.1179,0.3364
5039,0.2097,0.1179,0.3364
5040,0.2097,0.1179,0.3364
5041,0.2097,0.1179,0.3364
5042,0.2097,0.1179,0.3364
5043,0.2097,0.1179,0.3364
5044,0.2097,0.1179,0.3364
5045,0.2097,0.1179,0.3364
5046,0.2097,0.1179,0.3364
5047,0.2097,0.1179,0.3364
5048,0.2097,0.1179,0.3364
5049,0.2097,0.1179,0.3364
5050,0.2097,0.1179,0.3364
5051,0.2097,0.1179,0.3364
5052,0.2097,0.1179,0.3364
5053,0.2097,0.1179,0.3364
5054,0.2097,0.1179,0.3364
5055,0.2097,0.1179,0.3364
5056,0.2097,0.1179,0.3364
5057,0.2097,0.1179,0.3364
5058,0.2097,0.1179,0.3364
5059,0.2097,0.1179,0.3364
5060,0.2097,0.1179,0.3364
5061,0.2097,0.1179,0.3364
5062,0.2097,0.1179,0.3364
5063,0.2097,0.1179,0.3364
5064,0.2097,0.1179,0.3364
5065,0.2097,0.1179,0.3364
5066,0.2097,0.1179,0.3364
5067,0.2097,0.1179,0.3364
5068,0.2097,0.1179,0.3364
5069,0.2097,0.1179,0.3364
5070,0.2097,0.1179,0.3364
5071,0.2097,0.1179,0.3364
5072,0.2097,0.1179,0.3364
5073,0.2097,0.1179,0.3364
5074,0.2097,0.1179,0.3364
5075,0.2097,0.1179,0.3364
5076,0.2097,0.1179,0.3364
5077,0.2097,0.1179,0.3364
5078,0.2097,0.1179,0.3364
5079,0.2097,0.1179,0.3364
5080,0.2097,0.1179,0.3364
5081,0.2097,0.1179,0.3364
5082,0.2097,0.1179,0.3364
5083,0.2097,0.1179,0.3364
5084,0.2097,0.1179,0.3364
5085,0.2097,0.1179,0.3364
5086,0.2097,0.1179,0.3364
5087,0.2097,0.1179,0.3364
5088,0.2097,0.1179,0.3364
5089,0.2097,0.1179,0.3364
5090,0.2097,0.1179,0.3364
5091,0.2097,0.1179,0.3364
5092,0.2097,0.1179,0.3364
5093,0.2097,0.1179,0.3364
5094,0.2097,0.1179,0.3364
5095,0.2097,0.1179,0.3364
5096,0.2097,0.1179,0.3364
5097,0.2097,0.1179,0.3364
5098,0.2097,0.1179,0.3364
5099,0.2097,0.1179,0.3364
5100,0.2097,0.1179,0.3364
5101,0.2097,0.1179,0.3364
5102,0.2097,0.1179,0.3364
5103,0.2097,0.1179,0.3364
5104,0.2097,0.1179,0.3364
5105,0.2097,0.1179,0.3364
5106,0.2097,0.1179,0.3364
5107,0.2097,0.1179,0.3364
5108,0.2097,0.1179,0.3364
5109,0.2097,0.1179,0.3364
5110,0.2097,0.1179,0.3364
5111,0.2097,0.1179,0.3364
5112,0.2097,0.1179,0.3364
5113,0.2097,0.1179,0.3364
5114,0.2097,0.1179,0.3364
5115,0.2097,0.1179,0.3364
5116,0.2097,0.1179,0.3364
5117,0.2097,0.1179,0.3364
5118,0.2097,0.1179,0.3364
5119,0.2097,0.1179,0.3364
5120,0.2097,0.1179,0.3364
5121,0.2097,0.1179,0.3364
5122,0.2097,0.1179,0.3364
5123,0.2097,0.1179,0.3364
5124,0.2097,0.1179,0.3364
5125,0.2097,0.1179,0.3364
5126,0.2097,0.1179,0.3364
5127,0.2097,0.1179,0.3364
5128,0.2097,0.1179,0.3364
5129,0.2097,0.1179,0.3364
5130,0.2097,0.1179,0.3364
5131,0.2097,0.1179,0.3364
5132,0.2097,0.1179,0.3364
5133,0.2097,0.1179,0.3364
5134,0.2097,0.1179,0.3364
5135,0.2097,0.1179,0.3364
5136,0.2097,0.1179,0.3364
5137,0.2097,0.1179,0.3364
5138,0.2097,0.1179,0.3364
5139,0.2097,0.1179,0.3364
5140,0.2097,0.1179,0.3364
5141,0.2097,0.1179,0.3364
5142,0.2097,0.1179,0.3364
5143,0.2097,0.1179,0.3364
5144,0.2097,0.1179,0.3364
5145,0.2097,0.1179,0.3364
5146,0.2097,0.1179,0.3364
5147,0.2097,0.1179,0.3364
5148,0.2097,0.1179,0.3364
5149,0.2097,0.1179,0.3364
5150,0.2097,0.1179,0.3364
5151,0.2097,0.1179,0.3364
5152,0.2097,0.1179,0.3364
5153,0.2097,0.1179,0.3364
5154,0.2097,0.1179,0.3364
5155,0.2097,0.1179,0.3364
5156,0.2097,0.1179,0.3364
5157,0.2097,0.1179,0.3364
