p,mean p omega,u,deg
0.9571,0.9716,10.1961,3.0000
0.9504,0.9492,10.4780,4.0000
0.9801,0.9809,10.2858,1.0000
0.9204,0.9709,9.9733,5.0000
0.9801,0.9684,9.9969,3.0000
0.9513,0.9694,9.9923,3.0000
0.9820,0.9639,9.8717,5.0000
0.9522,NaN,10.2413,0.0000
0.9781,0.9744,10.0287,3.0000
0.9647,0.9638,9.8497,2.0000
0.9801,0.9685,9.9847,6.0000
0.9820,0.9704,10.0228,4.0000
0.9781,0.9637,10.1442,1.0000
0.9737,0.9337,11.3502,3.0000
0.9802,0.9646,10.1203,6.0000
0.9763,0.9839,9.7902,2.0000
0.9936,0.9688,10.1892,4.0000
0.9809,0.9732,9.9489,9.0000
0.9547,0.9774,9.9310,3.0000
0.9762,0.9651,9.9069,4.0000
0.9809,0.9404,10.0014,7.0000
0.9801,0.9718,10.0197,1.0000
0.7481,0.9747,8.8362,2.0000
0.9763,0.9700,9.9433,9.0000
0.9647,0.9400,10.2181,6.0000
0.9515,0.9647,9.6775,6.0000
0.9801,0.9706,10.1018,6.0000
0.9693,0.9564,9.9296,3.0000
0.9882,0.9672,10.0442,3.0000
0.9665,0.9741,10.2224,2.0000
0.9809,0.9809,10.0000,1.0000
0.9809,0.9752,10.0278,4.0000
0.9763,0.9762,9.8671,7.0000
0.9693,0.9317,9.9362,3.0000
0.9801,0.9389,11.4259,4.0000
0.9804,0.9642,10.0938,4.0000
0.9199,0.9720,9.9883,5.0000
0.9809,0.9768,9.7807,3.0000
0.9795,0.9763,10.0317,1.0000
0.9647,0.9646,9.9458,4.0000
0.9647,0.9801,9.9823,1.0000
0.9853,0.9772,9.9950,4.0000
0.9629,0.9784,9.4404,2.0000
0.9637,0.9753,9.9368,2.0000
0.9826,0.9840,9.9875,2.0000
0.9809,0.9763,10.0461,1.0000
0.9849,0.9698,10.1948,4.0000
0.9629,0.9700,10.0558,5.0000
0.9874,0.9562,9.8524,6.0000
0.9513,0.9727,9.7488,2.0000
0.9629,0.9736,9.9274,6.0000
0.9809,0.9786,10.4929,2.0000
0.9989,0.9739,11.5755,2.0000
0.9826,0.9721,9.9524,5.0000
0.9855,0.9688,10.0395,2.0000
0.9781,0.9726,8.6470,5.0000
0.9826,0.9773,9.9550,8.0000
0.9648,0.9777,9.8918,6.0000
0.9801,0.9547,10.2541,1.0000
0.9637,0.9658,9.6390,2.0000
0.9647,0.9637,10.0103,1.0000
0.9637,0.9779,10.0387,4.0000
0.9801,0.9786,10.0207,6.0000
0.9849,0.9708,10.0438,3.0000
0.9648,0.9576,10.2733,3.0000
0.9515,0.9817,9.8848,5.0000
0.9719,0.9619,9.8461,6.0000
0.9801,0.9756,9.9465,6.0000
0.9809,0.9743,10.2098,3.0000
0.9809,0.9780,10.0167,2.0000
0.9781,0.9755,9.7584,5.0000
0.9809,0.9763,9.9130,3.0000
0.9763,0.9745,10.0593,8.0000
0.9781,0.9823,10.0084,2.0000
0.9654,0.9647,10.0241,5.0000
0.9801,0.9764,9.9897,4.0000
0.9809,0.9767,10.1567,5.0000
0.9801,0.9654,10.2157,4.0000
0.9522,0.9758,9.9471,6.0000
0.9874,0.9746,9.9900,6.0000
0.9513,0.9578,9.7696,4.0000
0.9826,0.9855,9.9276,4.0000
0.9644,0.9715,10.1607,2.0000
0.9801,0.9644,9.5593,1.0000
0.9629,0.9762,9.8707,3.0000
0.9780,0.9584,9.9706,1.0000
0.9801,0.9746,9.8988,5.0000
0.8292,0.9730,9.8818,6.0000
0.9662,0.9587,10.2460,3.0000
0.9809,0.9675,9.8241,8.0000
0.9647,0.9712,10.0645,4.0000
0.9648,0.9547,10.0182,1.0000
0.9781,0.9654,10.0962,3.0000
0.9809,0.9747,10.0303,3.0000
0.9545,0.9835,9.7445,4.0000
0.9801,0.9724,9.9386,9.0000
0.9719,0.9372,10.4823,2.0000
0.9809,0.9724,9.9900,5.0000
0.9830,0.9748,10.0698,3.0000
0.9935,0.9747,10.0243,5.0000
0.9781,0.9753,9.9823,6.0000
0.9801,0.9647,10.2666,2.0000
0.9709,0.9793,9.6541,5.0000
0.9629,0.9809,9.8954,1.0000
0.9813,0.9805,10.1723,2.0000
0.9809,0.9760,10.0975,3.0000
0.9935,0.9649,10.1775,6.0000
0.9809,0.9936,11.5169,1.0000
0.7585,0.9739,9.2127,6.0000
0.9637,0.9847,9.5970,4.0000
0.9513,0.9270,10.0567,5.0000
0.9809,0.8659,12.3127,4.0000
0.9629,0.9802,9.8276,2.0000
0.9648,0.9664,9.8860,12.0000
0.9709,0.9717,10.0376,4.0000
0.9199,0.9759,9.4404,1.0000
0.9826,0.9674,10.1373,3.0000
0.9936,0.9764,9.9976,7.0000
0.9514,0.9458,9.9993,2.0000
0.9727,0.9799,10.0304,2.0000
0.9936,0.9838,9.8550,5.0000
0.9813,0.9697,10.1326,6.0000
0.9801,0.9809,10.0429,4.0000
0.9801,0.9529,10.5117,5.0000
0.9935,0.9832,9.8896,4.0000
0.9719,0.9849,9.9598,1.0000
0.9763,0.9747,9.9769,2.0000
0.9648,0.9715,9.9234,2.0000
0.9763,0.9739,10.0543,8.0000
0.9780,0.9753,9.9080,4.0000
0.9936,0.9707,9.9078,3.0000
0.9801,0.9810,9.9311,8.0000
0.9809,0.9783,10.0424,8.0000
0.9804,0.9220,9.8232,4.0000
0.9845,0.9698,10.1892,7.0000
0.9763,0.9805,10.1458,8.0000
0.9801,0.9547,10.0420,2.0000
0.9801,0.9399,9.9321,4.0000
0.9762,0.9654,10.2740,3.0000
0.9862,0.9799,9.9556,5.0000
0.9504,0.9740,9.8243,2.0000
0.9936,0.9590,10.3262,7.0000
0.9545,0.9801,9.8935,1.0000
0.9796,0.9809,9.8410,2.0000
0.9513,0.9726,9.9143,4.0000
0.9706,0.9722,10.0129,4.0000
0.9529,0.9601,9.9262,5.0000
0.9826,0.9845,9.6828,5.0000
0.9629,0.9780,9.3406,3.0000
0.9629,0.9809,9.4706,3.0000
0.9637,0.9552,9.7563,4.0000
0.9801,0.9787,9.9495,5.0000
0.9199,0.9572,9.9991,3.0000
0.9648,0.9485,9.9380,5.0000
0.9781,0.9762,9.8317,3.0000
0.9706,0.9745,10.0491,5.0000
0.9547,0.9801,10.3430,2.0000
0.9629,0.9677,10.2435,7.0000
0.9637,0.9644,10.1091,6.0000
0.9801,NaN,0.0000,0.0000
0.9693,0.9635,10.2410,5.0000
0.9648,0.9632,10.2261,5.0000
0.9936,0.9767,10.0611,6.0000
0.9709,0.9592,10.0466,5.0000
0.9763,0.9769,9.8894,4.0000
0.9781,0.9704,10.2341,2.0000
0.9555,0.9552,10.0565,4.0000
